    n        flux[ergs/s/cm^2]     w-range[A]
      1  1.6265659E-06       2000.       2020.
      2  2.0447928E-06       2020.       2041.
      3  2.3089187E-06       2041.       2062.
      4  3.4662371E-06       2062.       2083.
      5  1.5485894E-05       2083.       2105.
      6  9.9809076E-06       2105.       2128.
      7  1.9020410E-05       2128.       2151.
      8  1.4683865E-05       2151.       2174.
      9  5.6532663E-05       2174.       2200.
     10  2.1407724E-05       2200.       2222.
     11  1.2031337E-04       2222.       2247.
     12  4.0894865E-05       2247.       2273.
     13  2.2244561E-04       2273.       2299.
     14  2.8398845E-04       2299.       2326.
     15  5.9796375E-04       2326.       2353.
     16  2.0460508E-04       2353.       2381.
 
      1  3.5914558E-01       2376.       2750.
      2  3.3521909E-01       2750.       2850.
      3  3.3271110E+00       2850.       3071.
      4  1.0032809E+01       3071.       3200.
      5  1.9613003E+01       3200.       3292.
      6  4.5043854E+01       3292.       3412.
      7  2.6421811E+02       3412.       3900.
      8  1.5024596E+03       3900.       4500.
      9  5.6668892E+03       4500.       5400.
     10  9.2383191E+02       5400.       5495.
     11  1.6887461E+03       5495.       5666.
     12  4.3551777E+03       5666.       6050.
     13  2.3912202E+03       6050.       6250.
     14  5.8904458E+03       6250.       6667.
     15  2.8735591E+03       6667.       6910.
     16  1.3286310E+04       6910.       7520.
     17  8.8739551E+03       7520.       7840.
     18  1.9789525E+04       7840.       8420.
     19  1.6585961E+04       8420.       8910.
     20  2.5241086E+04       8910.       9620.
     21  2.5847057E+04       9620.       10360.
     22  1.2112299E+04       10360.       10700.
     23  2.0897689E+04       10700.       11300.
     24  2.3635494E+04       11300.       12030.
     25  3.1665814E+04       12030.       13070.
     26  3.0186098E+04       13070.       14310.
     27  2.6869662E+04       14310.       15650.
     28  2.4142172E+04       15650.       16880.
     29  2.5168227E+04       16880.       18620.
     30  1.6213197E+04       18620.       20200.
     31  1.6311938E+04       20200.       22030.
     32  1.9426984E+04       22030.       24810.
     33  7.3243306E+03       24810.       26600.
     34  8.3112734E+03       26600.       29200.
     35  7.4569590E+03       29200.       32390.
     36  6.6205801E+03       32390.       35770.
     37  6.8064961E+03       35770.       40100.
     38  1.9285345E+03       40100.       41720.
