        w[A]   flux[photons/s/cm^2/A]
 
       1725.  1.7743611E+02
       1675.  1.3695258E+01
       1625.  3.1033657E+00
       1575.  2.0925238E+00
       1525.  1.5628587E+00
       1475.  7.6248008E-01
       1425.  4.3480235E-01
       1375.  6.3116462E-03
       1325.  1.8162874E-03
       1216.  4.8151156E-07
