    n        flux[ergs/s/cm^2]     w-range[A]
      1  1.1295596E-06       2000.       2020.
      2  1.4199949E-06       2020.       2041.
      3  1.6034157E-06       2041.       2062.
      4  2.4071089E-06       2062.       2083.
      5  1.0754092E-05       2083.       2105.
      6  6.9311855E-06       2105.       2128.
      7  1.3208618E-05       2128.       2151.
      8  1.0197127E-05       2151.       2174.
      9  3.9258790E-05       2174.       2200.
     10  1.4866474E-05       2200.       2222.
     11  8.3550942E-05       2222.       2247.
     12  2.8399210E-05       2247.       2273.
     13  1.5447612E-04       2273.       2299.
     14  1.9721419E-04       2299.       2326.
     15  4.1525258E-04       2326.       2353.
     16  1.4208685E-04       2353.       2381.
 
      1  2.4940665E-01       2376.       2750.
      2  2.3279102E-01       2750.       2850.
      3  2.3104937E+00       2850.       3071.
      4  6.9672279E+00       3071.       3200.
      5  1.3620139E+01       3200.       3292.
      6  3.1280453E+01       3292.       3412.
      7  1.8348479E+02       3412.       3900.
      8  1.0433746E+03       3900.       4500.
      9  3.9353396E+03       4500.       5400.
     10  6.4154993E+02       5400.       5495.
     11  1.1727402E+03       5495.       5666.
     12  3.0244287E+03       5666.       6050.
     13  1.6605695E+03       6050.       6250.
     14  4.0905869E+03       6250.       6667.
     15  1.9955270E+03       6667.       6910.
     16  9.2266025E+03       6910.       7520.
     17  6.1624683E+03       7520.       7840.
     18  1.3742726E+04       7840.       8420.
     19  1.1518027E+04       8420.       8910.
     20  1.7528531E+04       8910.       9620.
     21  1.7949344E+04       9620.       10360.
     22  8.4113184E+03       10360.       10700.
     23  1.4512283E+04       10700.       11300.
     24  1.6413537E+04       11300.       12030.
     25  2.1990146E+04       12030.       13070.
     26  2.0962566E+04       13070.       14310.
     27  1.8659486E+04       14310.       15650.
     28  1.6765395E+04       15650.       16880.
     29  1.7477934E+04       16880.       18620.
     30  1.1259164E+04       18620.       20200.
     31  1.1327733E+04       20200.       22030.
     32  1.3490960E+04       22030.       24810.
     33  5.0863403E+03       24810.       26600.
     34  5.7717173E+03       26600.       29200.
     35  5.1784434E+03       29200.       32390.
     36  4.5976245E+03       32390.       35770.
     37  4.7267329E+03       35770.       40100.
     38  1.3392600E+03       40100.       41720.
