        w[A]   flux[photons/s/cm^2/A]
 
       1725.  1.4372325E+02
       1675.  1.1093160E+01
       1625.  2.5137262E+00
       1575.  1.6949444E+00
       1525.  1.2659156E+00
       1475.  6.1760890E-01
       1425.  3.5218990E-01
       1375.  5.1124338E-03
       1325.  1.4711928E-03
       1216.  3.9002435E-07
