        w[A]   flux[photons/s/cm^2/A]
 
       1725.  9.1857250E+04
       1675.  1.6305809E+04
       1625.  6.9095293E+03
       1575.  4.0018779E+03
       1525.  2.1542839E+03
       1475.  6.8863495E+02
       1425.  4.5439224E+02
       1375.  3.5457054E+01
       1325.  1.2110601E+01
       1216.  4.1161469E-04
