        w[A]   flux[photons/s/cm^2/A]
 
       1725.  3.9923123E+02
       1675.  3.0814329E+01
       1625.  6.9825726E+00
       1575.  4.7081785E+00
       1525.  3.5164320E+00
       1475.  1.7155801E+00
       1425.  9.7830522E-01
       1375.  1.4201203E-02
       1325.  4.0866463E-03
       1216.  1.0834009E-06
