        w[A]   flux[photons/s/cm^2/A]
 
       1725.  9.9807808E+01
       1675.  7.7035823E+00
       1625.  1.7456431E+00
       1575.  1.1770446E+00
       1525.  8.7910801E-01
       1475.  4.2889503E-01
       1425.  2.4457631E-01
       1375.  3.5503008E-03
       1325.  1.0216616E-03
       1216.  2.7085022E-07
