    n     flux[photons/s/cm^2]     w-range[A]
      1  4.2923257E+03       1754.       1770.
      2  6.2090254E+03       1770.       1786.
      3  1.1213513E+04       1786.       1802.
      4  1.2387938E+04       1802.       1818.
      5  1.7578863E+04       1818.       1835.
      6  1.6133060E+04       1835.       1852.
      7  2.3895117E+04       1852.       1869.
      8  1.7184928E+04       1869.       1887.
      9  5.3825484E+04       1887.       1905.
     10  4.5525363E+04       1905.       1923.
     11  1.6072903E+05       1923.       1942.
     12  1.6083033E+05       1942.       1961.
     13  2.2115952E+05       1961.       1980.
     14  3.3728675E+05       1980.       2000.
     15  4.5712794E+05       2000.       2020.
     16  5.8050306E+05       2020.       2041.
     17  6.6227175E+05       2041.       2062.
     18  1.0037852E+06       2062.       2083.
     19  4.5358255E+06       2083.       2105.
     20  2.9493030E+06       2105.       2128.
     21  5.6905160E+06       2128.       2151.
     22  4.4377665E+06       2151.       2174.
     23  1.7253748E+07       2174.       2200.
     24  6.6127990E+06       2200.       2222.
     25  3.7525612E+07       2222.       2247.
     26  1.2931942E+07       2247.       2273.
     27  7.1159304E+07       2273.       2299.
     28  9.1916944E+07       2299.       2326.
     29  1.9521648E+08       2326.       2353.
     30  6.7599096E+07       2353.       2381.
     31  4.9051565E+08       2381.       2410.
     32  9.8078726E+08       2410.       2439.
     33  1.5537231E+09       2439.       2469.
     34  8.1148570E+08       2469.       2500.
     35  1.2453033E+09       2500.       2532.
     36  3.6961321E+09       2532.       2564.
     37  2.2060495E+09       2564.       2597.
     38  2.2719994E+10       2597.       2632.
     39  1.8647142E+10       2632.       2667.
     40  3.6950049E+10       2667.       2703.
     41  3.6605927E+10       2703.       2740.
     42  5.4260105E+10       2740.       2778.
     43  4.6500168E+10       2778.       2817.
     44  3.9150354E+10       2817.       2857.
     45  1.6827785E+11       2857.       2899.
     46  3.1004223E+11       2899.       2941.
     47  2.9497757E+11       2941.       2985.
     48  2.5451663E+11       2985.       3030.
     49  4.3678099E+11       3030.       3077.
     50  6.3444412E+11       3077.       3125.
     51  2.2322049E+12       3125.       3175.
     52  3.4271975E+12       3175.       3225.
     53  3.5068594E+12       3225.       3275.
     54  9.5035652E+12       3275.       3325.
     55  9.1659310E+12       3325.       3375.
     56  7.9427404E+12       3375.       3425.
     57  2.2224471E+12       3425.       3450.
     58  1.8944212E+13       3450.       3550.
     59  1.8795316E+13       3550.       3650.
     60  3.2373924E+13       3650.       3750.
     61  4.7418914E+13       3750.       3850.
     62  3.5794723E+13       3850.       3950.
     63  1.0327223E+14       3950.       4050.
     64  1.6392540E+14       4050.       4150.
     65  9.0651274E+13       4150.       4250.
     66  1.3342586E+14       4250.       4350.
     67  2.3570886E+14       4350.       4450.
     68  2.9279305E+14       4450.       4550.
     69  3.4663060E+14       4550.       4650.
     70  3.6620837E+14       4650.       4750.
     71  3.2060102E+14       4750.       4850.
     72  5.2076163E+14       4850.       4950.
     73  3.4204187E+14       4950.       5050.
     74  4.0085124E+14       5050.       5150.
     75  4.0531996E+14       5150.       5250.
     76  6.8146924E+14       5250.       5350.
     77  8.4369680E+14       5350.       5450.
     78  7.3574172E+14       5450.       5550.
     79  7.5088088E+14       5550.       5650.
     80  9.5943416E+14       5650.       5750.
     81  1.1008086E+15       5750.       5850.
     82  5.9819714E+14       5850.       5950.
     83  1.0300948E+15       5950.       6050.
     84  1.3104826E+15       6050.       6150.
     85  7.3942016E+14       6150.       6250.
     86  9.4659851E+14       6250.       6350.
     87  1.1126853E+15       6350.       6450.
     88  1.3820469E+15       6450.       6550.
     89  1.6403891E+15       6550.       6650.
     90  1.1789781E+15       6650.       6750.
     91  1.1056314E+15       6750.       6850.
     92  1.1224374E+15       6850.       6950.
     93  1.9082967E+15       6950.       7050.
     94  1.3799671E+15       7050.       7150.
     95  1.4724576E+15       7150.       7250.
     96  2.5627047E+15       7250.       7350.
     97  3.3114802E+15       7350.       7450.
     98  3.5379326E+15       7450.       7550.
     99  3.2794518E+15       7550.       7650.
    100  2.5600614E+15       7650.       7750.
    101  2.8901557E+15       7750.       7850.
    102  3.2770531E+15       7850.       7950.
    103  3.7421408E+15       7950.       8050.
    104  4.1274738E+15       8050.       8150.
    105  4.0376875E+15       8150.       8250.
    106  4.1563725E+15       8250.       8350.
    107  3.9942662E+15       8350.       8450.
    108  3.7953630E+15       8450.       8550.
