    n     flux[photons/s/cm^2]     w-range[A]
      1  1.9233724E+06       1754.       1770.
      2  2.8649128E+06       1770.       1786.
      3  4.2924145E+06       1786.       1802.
      4  4.5222020E+06       1802.       1818.
      5  5.7322770E+06       1818.       1835.
      6  6.5010375E+06       1835.       1852.
      7  9.4147850E+06       1852.       1869.
      8  7.4188380E+06       1869.       1887.
      9  1.5811744E+07       1887.       1905.
     10  1.4650955E+07       1905.       1923.
     11  3.5551476E+07       1923.       1942.
     12  3.7906792E+07       1942.       1961.
     13  5.0500312E+07       1961.       1980.
     14  6.9416912E+07       1980.       2000.
     15  8.7368744E+07       2000.       2020.
     16  1.0812151E+08       2020.       2041.
     17  1.3266945E+08       2041.       2062.
     18  1.6172214E+08       2062.       2083.
     19  3.1385510E+08       2083.       2105.
     20  2.9491446E+08       2105.       2128.
     21  4.3973280E+08       2128.       2151.
     22  4.2183722E+08       2151.       2174.
     23  7.9445562E+08       2174.       2200.
     24  6.3976736E+08       2200.       2222.
     25  1.4472845E+09       2222.       2247.
     26  1.0341281E+09       2247.       2273.
     27  1.9379357E+09       2273.       2299.
     28  2.9525701E+09       2299.       2326.
     29  4.3463567E+09       2326.       2353.
     30  3.2201544E+09       2353.       2381.
     31  7.0517463E+09       2381.       2410.
     32  1.1428323E+10       2410.       2439.
     33  1.5977435E+10       2439.       2469.
     34  1.4526994E+10       2469.       2500.
     35  2.1537114E+10       2500.       2532.
     36  3.5143614E+10       2532.       2564.
     37  3.1855143E+10       2564.       2597.
     38  1.2254197E+11       2597.       2632.
     39  1.1106926E+11       2632.       2667.
     40  1.7931878E+11       2667.       2703.
     41  2.1266140E+11       2703.       2740.
     42  2.9489014E+11       2740.       2778.
     43  2.7652571E+11       2778.       2817.
     44  2.8232909E+11       2817.       2857.
     45  8.4166889E+11       2857.       2899.
     46  1.1648835E+12       2899.       2941.
     47  1.2804647E+12       2941.       2985.
     48  1.2506384E+12       2985.       3030.
     49  1.7769200E+12       3030.       3077.
     50  1.9448680E+12       3077.       3125.
     51  4.9584081E+12       3125.       3175.
     52  8.1090943E+12       3175.       3225.
     53  8.0988781E+12       3225.       3275.
     54  2.1481250E+13       3275.       3325.
     55  1.9394458E+13       3325.       3375.
     56  2.0458143E+13       3375.       3425.
     57  6.5741867E+12       3425.       3450.
     58  5.1598156E+13       3450.       3550.
     59  5.0294667E+13       3550.       3650.
     60  8.4236380E+13       3650.       3750.
     61  1.1414003E+14       3750.       3850.
     62  9.5285049E+13       3850.       3950.
     63  2.2724652E+14       3950.       4050.
     64  3.4035616E+14       4050.       4150.
     65  2.4456814E+14       4150.       4250.
     66  3.0116099E+14       4250.       4350.
     67  5.0862801E+14       4350.       4450.
     68  5.8047765E+14       4450.       4550.
     69  7.4278896E+14       4550.       4650.
     70  7.7783522E+14       4650.       4750.
     71  7.4276171E+14       4750.       4850.
     72  9.8643984E+14       4850.       4950.
     73  7.2653385E+14       4950.       5050.
     74  7.5439591E+14       5050.       5150.
     75  7.6143046E+14       5150.       5250.
     76  1.2217162E+15       5250.       5350.
     77  1.4227534E+15       5350.       5450.
     78  1.3694447E+15       5450.       5550.
     79  1.4021825E+15       5550.       5650.
     80  1.7028351E+15       5650.       5750.
     81  1.9318837E+15       5750.       5850.
     82  1.3903745E+15       5850.       5950.
     83  1.8897950E+15       5950.       6050.
     84  2.1206951E+15       6050.       6150.
     85  1.5134304E+15       6150.       6250.
     86  1.7985882E+15       6250.       6350.
     87  1.9568543E+15       6350.       6450.
     88  2.1709850E+15       6450.       6550.
     89  2.5159663E+15       6550.       6650.
     90  2.1296230E+15       6650.       6750.
     91  2.0431805E+15       6750.       6850.
     92  2.0442552E+15       6850.       6950.
     93  2.8577424E+15       6950.       7050.
     94  2.3384570E+15       7050.       7150.
     95  2.4264737E+15       7150.       7250.
     96  3.3315245E+15       7250.       7350.
     97  3.8170923E+15       7350.       7450.
     98  4.0126760E+15       7450.       7550.
     99  3.8889895E+15       7550.       7650.
    100  3.5015706E+15       7650.       7750.
    101  3.6677300E+15       7750.       7850.
    102  3.8914688E+15       7850.       7950.
    103  4.1992615E+15       7950.       8050.
    104  4.3857742E+15       8050.       8150.
    105  4.3412493E+15       8150.       8250.
    106  4.4021224E+15       8250.       8350.
    107  4.2301723E+15       8350.       8450.
    108  4.1960558E+15       8450.       8550.
