    n        flux[ergs/s/cm^2]     w-range[A]
      1  3.8386750E-04       2000.       2020.
      2  4.7023926E-04       2020.       2041.
      3  5.7110935E-04       2041.       2062.
      4  6.8954786E-04       2062.       2083.
      5  1.3232932E-03       2083.       2105.
      6  1.2317980E-03       2105.       2128.
      7  1.8154623E-03       2128.       2151.
      8  1.7236930E-03       2151.       2174.
      9  3.2094545E-03       2174.       2200.
     10  2.5570518E-03       2200.       2222.
     11  5.7229120E-03       2222.       2247.
     12  4.0403120E-03       2247.       2273.
     13  7.4859140E-03       2273.       2299.
     14  1.1270257E-02       2299.       2326.
     15  1.6426731E-02       2326.       2353.
     16  1.2026037E-02       2353.       2381.
 
      1  2.7284803E+00       2376.       2750.
      2  2.4335730E+00       2750.       2850.
      3  1.7962648E+01       2850.       3071.
      4  3.0966759E+01       3071.       3200.
      5  5.4920570E+01       3200.       3292.
      6  1.2531056E+02       3292.       3412.
      7  8.4637250E+02       3412.       3900.
      8  4.1242573E+03       3900.       4500.
      9  1.3729236E+04       4500.       5400.
     10  2.0285647E+03       5400.       5495.
     11  3.8530698E+03       5495.       5666.
     12  1.0068955E+04       5666.       6050.
     13  5.2256826E+03       6050.       6250.
     14  1.2120224E+04       6250.       6667.
     15  6.5131079E+03       6667.       6910.
     16  2.2385199E+04       6910.       7520.
     17  1.3702187E+04       7520.       7840.
     18  2.6742500E+04       7840.       8420.
     19  2.1833861E+04       8420.       8910.
     20  3.1482980E+04       8910.       9620.
     21  3.1082965E+04       9620.       10360.
     22  1.3960989E+04       10360.       10700.
     23  2.3580236E+04       10700.       11300.
     24  2.6546375E+04       11300.       12030.
     25  3.4827781E+04       12030.       13070.
     26  3.5371598E+04       13070.       14310.
     27  3.2427990E+04       14310.       15650.
     28  2.7338197E+04       15650.       16880.
     29  3.0069600E+04       16880.       18620.
     30  1.9886785E+04       18620.       20200.
     31  1.8816350E+04       20200.       22030.
     32  2.0893828E+04       22030.       24810.
     33  8.2090576E+03       24810.       26600.
     34  9.4597803E+03       26600.       29200.
     35  8.1936025E+03       29200.       32390.
     36  6.8526250E+03       32390.       35770.
     37  6.6453115E+03       35770.       40100.
     38  1.8851514E+03       40100.       41720.
