    n        flux[ergs/s/cm^2]     w-range[A]
      1  8.6370186E-04       2000.       2020.
      2  1.0580383E-03       2020.       2041.
      3  1.2849959E-03       2041.       2062.
      4  1.5514826E-03       2062.       2083.
      5  2.9774094E-03       2083.       2105.
      6  2.7715452E-03       2105.       2128.
      7  4.0847901E-03       2128.       2151.
      8  3.8783089E-03       2151.       2174.
      9  7.2212722E-03       2174.       2200.
     10  5.7533663E-03       2200.       2222.
     11  1.2876552E-02       2222.       2247.
     12  9.0907020E-03       2247.       2273.
     13  1.6843306E-02       2273.       2299.
     14  2.5358077E-02       2299.       2326.
     15  3.6960144E-02       2326.       2353.
     16  2.7058583E-02       2353.       2381.
 
      1  6.1390805E+00       2376.       2750.
      2  5.4755392E+00       2750.       2850.
      3  4.0415958E+01       2850.       3071.
      4  6.9675201E+01       3071.       3200.
      5  1.2357127E+02       3200.       3292.
      6  2.8194876E+02       3292.       3412.
      7  1.9043380E+03       3412.       3900.
      8  9.2795781E+03       3900.       4500.
      9  3.0890779E+04       4500.       5400.
     10  4.5642705E+03       5400.       5495.
     11  8.6694062E+03       5495.       5666.
     12  2.2655148E+04       5666.       6050.
     13  1.1757785E+04       6050.       6250.
     14  2.7270502E+04       6250.       6667.
     15  1.4654492E+04       6667.       6910.
     16  5.0366695E+04       6910.       7520.
     17  3.0829918E+04       7520.       7840.
     18  6.0170621E+04       7840.       8420.
     19  4.9126188E+04       8420.       8910.
     20  7.0836703E+04       8910.       9620.
     21  6.9936664E+04       9620.       10360.
     22  3.1412225E+04       10360.       10700.
     23  5.3055531E+04       10700.       11300.
     24  5.9729344E+04       11300.       12030.
     25  7.8362508E+04       12030.       13070.
     26  7.9586094E+04       13070.       14310.
     27  7.2962977E+04       14310.       15650.
     28  6.1510941E+04       15650.       16880.
     29  6.7656594E+04       16880.       18620.
     30  4.4745262E+04       18620.       20200.
     31  4.2336785E+04       20200.       22030.
     32  4.7011113E+04       22030.       24810.
     33  1.8470379E+04       24810.       26600.
     34  2.1284504E+04       26600.       29200.
     35  1.8435605E+04       29200.       32390.
     36  1.5418405E+04       32390.       35770.
     37  1.4951950E+04       35770.       40100.
     38  4.2415903E+03       40100.       41720.
