    n        flux[ergs/s/cm^2]     w-range[A]
      1  4.5182383E-06       2000.       2020.
      2  5.6799795E-06       2020.       2041.
      3  6.4136630E-06       2041.       2062.
      4  9.6284357E-06       2062.       2083.
      5  4.3016367E-05       2083.       2105.
      6  2.7724742E-05       2105.       2128.
      7  5.2834472E-05       2128.       2151.
      8  4.0788509E-05       2151.       2174.
      9  1.5703516E-04       2174.       2200.
     10  5.9465896E-05       2200.       2222.
     11  3.3420377E-04       2222.       2247.
     12  1.1359684E-04       2247.       2273.
     13  6.1790447E-04       2273.       2299.
     14  7.8885676E-04       2299.       2326.
     15  1.6610103E-03       2326.       2353.
     16  5.6834740E-04       2353.       2381.
 
      1  9.9762660E-01       2376.       2750.
      2  9.3116409E-01       2750.       2850.
      3  9.2419748E+00       2850.       3071.
      4  2.7868912E+01       3071.       3200.
      5  5.4480556E+01       3200.       3292.
      6  1.2512181E+02       3292.       3412.
      7  7.3393915E+02       3412.       3900.
      8  4.1734985E+03       3900.       4500.
      9  1.5741358E+04       4500.       5400.
     10  2.5661997E+03       5400.       5495.
     11  4.6909609E+03       5495.       5666.
     12  1.2097715E+04       5666.       6050.
     13  6.6422778E+03       6050.       6250.
     14  1.6362348E+04       6250.       6667.
     15  7.9821079E+03       6667.       6910.
     16  3.6906410E+04       6910.       7520.
     17  2.4649873E+04       7520.       7840.
     18  5.4970902E+04       7840.       8420.
     19  4.6072109E+04       8420.       8910.
     20  7.0114125E+04       8910.       9620.
     21  7.1797375E+04       9620.       10360.
     22  3.3645273E+04       10360.       10700.
     23  5.8049133E+04       10700.       11300.
     24  6.5654148E+04       11300.       12030.
     25  8.7960586E+04       12030.       13070.
     26  8.3850266E+04       13070.       14310.
     27  7.4637945E+04       14310.       15650.
     28  6.7061578E+04       15650.       16880.
     29  6.9911734E+04       16880.       18620.
     30  4.5036656E+04       18620.       20200.
     31  4.5310934E+04       20200.       22030.
     32  5.3963840E+04       22030.       24810.
     33  2.0345361E+04       24810.       26600.
     34  2.3086869E+04       26600.       29200.
     35  2.0713773E+04       29200.       32390.
     36  1.8390498E+04       32390.       35770.
     37  1.8906932E+04       35770.       40100.
     38  5.3570400E+03       40100.       41720.
