    n        flux[ergs/s/cm^2]     w-range[A]
      1  3.1093269E-04       2000.       2020.
      2  3.8089382E-04       2020.       2041.
      3  4.6259857E-04       2041.       2062.
      4  5.5853376E-04       2062.       2083.
      5  1.0718675E-03       2083.       2105.
      6  9.9775637E-04       2105.       2128.
      7  1.4705245E-03       2128.       2151.
      8  1.3961913E-03       2151.       2174.
      9  2.5996582E-03       2174.       2200.
     10  2.0712120E-03       2200.       2222.
     11  4.6355589E-03       2222.       2247.
     12  3.2726529E-03       2247.       2273.
     13  6.0635903E-03       2273.       2299.
     14  9.1289086E-03       2299.       2326.
     15  1.3305653E-02       2326.       2353.
     16  9.7410902E-03       2353.       2381.
 
      1  2.2100692E+00       2376.       2750.
      2  1.9711943E+00       2750.       2850.
      3  1.4549747E+01       2850.       3071.
      4  2.5083075E+01       3071.       3200.
      5  4.4485664E+01       3200.       3292.
      6  1.0150156E+02       3292.       3412.
      7  6.8556171E+02       3412.       3900.
      8  3.3406484E+03       3900.       4500.
      9  1.1120682E+04       4500.       5400.
     10  1.6431375E+03       5400.       5495.
     11  3.1209866E+03       5495.       5666.
     12  8.1558540E+03       5666.       6050.
     13  4.2328032E+03       6050.       6250.
     14  9.8173818E+03       6250.       6667.
     15  5.2756177E+03       6667.       6910.
     16  1.8132012E+04       6910.       7520.
     17  1.1098771E+04       7520.       7840.
     18  2.1661426E+04       7840.       8420.
     19  1.7685428E+04       8420.       8910.
     20  2.5501215E+04       8910.       9620.
     21  2.5177201E+04       9620.       10360.
     22  1.1308401E+04       10360.       10700.
     23  1.9099992E+04       10700.       11300.
     24  2.1502564E+04       11300.       12030.
     25  2.8210504E+04       12030.       13070.
     26  2.8650996E+04       13070.       14310.
     27  2.6266674E+04       14310.       15650.
     28  2.2143939E+04       15650.       16880.
     29  2.4356377E+04       16880.       18620.
     30  1.6108296E+04       18620.       20200.
     31  1.5241243E+04       20200.       22030.
     32  1.6924002E+04       22030.       24810.
     33  6.6493369E+03       24810.       26600.
     34  7.6624224E+03       26600.       29200.
     35  6.6368184E+03       29200.       32390.
     36  5.5506265E+03       32390.       35770.
     37  5.3827021E+03       35770.       40100.
     38  1.5269727E+03       40100.       41720.
