        w[A]   flux[photons/s/cm^2/A]
 
       1725.  1.3849247E+05
       1675.  2.4584143E+04
       1625.  1.0417444E+04
       1575.  6.0336006E+03
       1525.  3.2479971E+03
       1475.  1.0382496E+03
       1425.  6.8508368E+02
       1375.  5.3458328E+01
       1325.  1.8259060E+01
       1216.  6.2058831E-04
