    n        flux[ergs/s/cm^2]     w-range[A]
      1  2.0081059E-06       2000.       2020.
      2  2.5244356E-06       2020.       2041.
      3  2.8505169E-06       2041.       2062.
      4  4.2793049E-06       2062.       2083.
      5  1.9118386E-05       2083.       2105.
      6  1.2322108E-05       2105.       2128.
      7  2.3481987E-05       2128.       2151.
      8  1.8128227E-05       2151.       2174.
      9  6.9793408E-05       2174.       2200.
     10  2.6429288E-05       2200.       2222.
     11  1.4853501E-04       2222.       2247.
     12  5.0487488E-05       2247.       2273.
     13  2.7462421E-04       2273.       2299.
     14  3.5060302E-04       2299.       2326.
     15  7.3822687E-04       2326.       2353.
     16  2.5259887E-04       2353.       2381.
 
      1  4.4338959E-01       2376.       2750.
      2  4.1385072E-01       2750.       2850.
      3  4.1075444E+00       2850.       3071.
      4  1.2386184E+01       3071.       3200.
      5  2.4213583E+01       3200.       3292.
      6  5.5609695E+01       3292.       3412.
      7  3.2619519E+02       3412.       3900.
      8  1.8548883E+03       3900.       4500.
      9  6.9961597E+03       4500.       5400.
     10  1.1405332E+03       5400.       5495.
     11  2.0848716E+03       5495.       5666.
     12  5.3767622E+03       5666.       6050.
     13  2.9521238E+03       6050.       6250.
     14  7.2721548E+03       6250.       6667.
     15  3.5476038E+03       6667.       6910.
     16  1.6402850E+04       6910.       7520.
     17  1.0955499E+04       7520.       7840.
     18  2.4431512E+04       7840.       8420.
     19  2.0476494E+04       8420.       8910.
     20  3.1161834E+04       8910.       9620.
     21  3.1909945E+04       9620.       10360.
     22  1.4953455E+04       10360.       10700.
     23  2.5799617E+04       10700.       11300.
     24  2.9179621E+04       11300.       12030.
     25  3.9093598E+04       12030.       13070.
     26  3.7266785E+04       13070.       14310.
     27  3.3172422E+04       14310.       15650.
     28  2.9805148E+04       15650.       16880.
     29  3.1071885E+04       16880.       18620.
     30  2.0016293E+04       18620.       20200.
     31  2.0138193E+04       20200.       22030.
     32  2.3983930E+04       22030.       24810.
     33  9.0423828E+03       24810.       26600.
     34  1.0260831E+04       26600.       29200.
     35  9.2061221E+03       29200.       32390.
     36  8.1735552E+03       32390.       35770.
     37  8.4030811E+03       35770.       40100.
     38  2.3809067E+03       40100.       41720.
