    n     flux[photons/s/cm^2]     w-range[A]
      1  9.8895178E+02       1754.       1770.
      2  1.4305594E+03       1770.       1786.
      3  2.5835933E+03       1786.       1802.
      4  2.8541807E+03       1802.       1818.
      5  4.0501699E+03       1818.       1835.
      6  3.7170569E+03       1835.       1852.
      7  5.5054346E+03       1852.       1869.
      8  3.9594072E+03       1869.       1887.
      9  1.2401392E+04       1887.       1905.
     10  1.0489043E+04       1905.       1923.
     11  3.7031969E+04       1923.       1942.
     12  3.7055305E+04       1942.       1961.
     13  5.0955148E+04       1961.       1980.
     14  7.7710867E+04       1980.       2000.
     15  1.0532227E+05       2000.       2020.
     16  1.3374791E+05       2020.       2041.
     17  1.5258741E+05       2041.       2062.
     18  2.3127209E+05       2062.       2083.
     19  1.0450542E+06       2083.       2105.
     20  6.7951938E+05       2105.       2128.
     21  1.3110949E+06       2128.       2151.
     22  1.0224614E+06       2151.       2174.
     23  3.9752632E+06       2174.       2200.
     24  1.5235889E+06       2200.       2222.
     25  8.6459000E+06       2222.       2247.
     26  2.9795192E+06       2247.       2273.
     27  1.6395102E+07       2273.       2299.
     28  2.1177664E+07       2299.       2326.
     29  4.4977872E+07       2326.       2353.
     30  1.5574831E+07       2353.       2381.
     31  1.1301480E+08       2381.       2410.
     32  2.2597338E+08       2410.       2439.
     33  3.5797779E+08       2439.       2469.
     34  1.8696630E+08       2469.       2500.
     35  2.8691789E+08       2500.       2532.
     36  8.5158880E+08       2532.       2564.
     37  5.0827376E+08       2564.       2597.
     38  5.2346860E+09       2597.       2632.
     39  4.2963016E+09       2632.       2667.
     40  8.5132913E+09       2667.       2703.
     41  8.4340055E+09       2703.       2740.
     42  1.2501529E+10       2740.       2778.
     43  1.0713638E+10       2778.       2817.
     44  9.0202409E+09       2817.       2857.
     45  3.8771212E+10       2857.       2899.
     46  7.1433732E+10       2899.       2941.
     47  6.7962831E+10       2941.       2985.
     48  5.8640626E+10       2985.       3030.
     49  1.0063434E+11       3030.       3077.
     50  1.4617592E+11       3077.       3125.
     51  5.1429995E+11       3125.       3175.
     52  7.8962629E+11       3175.       3225.
     53  8.0798037E+11       3225.       3275.
     54  2.1896212E+12       3275.       3325.
     55  2.1118304E+12       3325.       3375.
     56  1.8300073E+12       3375.       3425.
     57  5.1205181E+11       3425.       3450.
     58  4.3647464E+12       3450.       3550.
     59  4.3304404E+12       3550.       3650.
     60  7.4589521E+12       3650.       3750.
     61  1.0925318E+13       3750.       3850.
     62  8.2471042E+12       3850.       3950.
     63  2.3793920E+13       3950.       4050.
     64  3.7768407E+13       4050.       4150.
     65  2.0886053E+13       4150.       4250.
     66  3.0741319E+13       4250.       4350.
     67  5.4307316E+13       4350.       4450.
     68  6.7459520E+13       4450.       4550.
     69  7.9863684E+13       4550.       4650.
     70  8.4374406E+13       4650.       4750.
     71  7.3866467E+13       4750.       4850.
     72  1.1998348E+14       4850.       4950.
     73  7.8806442E+13       4950.       5050.
     74  9.2356125E+13       5050.       5150.
     75  9.3385717E+13       5150.       5250.
     76  1.5701050E+14       5250.       5350.
     77  1.9438774E+14       5350.       5450.
     78  1.6951489E+14       5450.       5550.
     79  1.7300294E+14       5550.       5650.
     80  2.2105361E+14       5650.       5750.
     81  2.5362629E+14       5750.       5850.
     82  1.3782461E+14       5850.       5950.
     83  2.3733382E+14       5950.       6050.
     84  3.0193516E+14       6050.       6150.
     85  1.7036239E+14       6150.       6250.
     86  2.1809628E+14       6250.       6350.
     87  2.5636269E+14       6350.       6450.
     88  3.1842361E+14       6450.       6550.
     89  3.7794565E+14       6550.       6650.
     90  2.7163653E+14       6650.       6750.
     91  2.5473746E+14       6750.       6850.
     92  2.5860956E+14       6850.       6950.
     93  4.3967154E+14       6950.       7050.
     94  3.1794438E+14       7050.       7150.
     95  3.3925423E+14       7150.       7250.
     96  5.9044714E+14       7250.       7350.
     97  7.6296497E+14       7350.       7450.
     98  8.1513963E+14       7450.       7550.
     99  7.5558568E+14       7550.       7650.
    100  5.8983813E+14       7650.       7750.
    101  6.6589180E+14       7750.       7850.
    102  7.5503297E+14       7850.       7950.
    103  8.6218925E+14       7950.       8050.
    104  9.5096992E+14       8050.       8150.
    105  9.3028314E+14       8150.       8250.
    106  9.5762819E+14       8250.       8350.
    107  9.2027888E+14       8350.       8450.
    108  8.7445158E+14       8450.       8550.
