    n        flux[ergs/s/cm^2]     w-range[A]
      1  3.3195217E-06       2000.       2020.
      2  4.1730459E-06       2020.       2041.
      3  4.7120784E-06       2041.       2062.
      4  7.0739525E-06       2062.       2083.
      5  3.1603860E-05       2083.       2105.
      6  2.0369196E-05       2105.       2128.
      7  3.8817161E-05       2128.       2151.
      8  2.9967066E-05       2151.       2174.
      9  1.1537276E-04       2174.       2200.
     10  4.3689230E-05       2200.       2222.
     11  2.4553743E-04       2222.       2247.
     12  8.3458901E-05       2247.       2273.
     13  4.5397060E-04       2273.       2299.
     14  5.7956821E-04       2299.       2326.
     15  1.2203341E-03       2326.       2353.
     16  4.1756133E-04       2353.       2381.
 
      1  7.3295009E-01       2376.       2750.
      2  6.8412054E-01       2750.       2850.
      3  6.7900214E+00       2850.       3071.
      4  2.0475117E+01       3071.       3200.
      5  4.0026531E+01       3200.       3292.
      6  9.1926224E+01       3292.       3412.
      7  5.3922058E+02       3412.       3900.
      8  3.0662437E+03       3900.       4500.
      9  1.1565079E+04       4500.       5400.
     10  1.8853711E+03       5400.       5495.
     11  3.4464202E+03       5495.       5666.
     12  8.8881162E+03       5666.       6050.
     13  4.8800405E+03       6050.       6250.
     14  1.2021316E+04       6250.       6667.
     15  5.8644058E+03       6667.       6910.
     16  2.7114914E+04       6910.       7520.
     17  1.8110109E+04       7520.       7840.
     18  4.0386781E+04       7840.       8420.
     19  3.3848895E+04       8420.       8910.
     20  5.1512414E+04       8910.       9620.
     21  5.2749090E+04       9620.       10360.
     22  2.4718975E+04       10360.       10700.
     23  4.2648340E+04       10700.       11300.
     24  4.8235695E+04       11300.       12030.
     25  6.4624102E+04       12030.       13070.
     26  6.1604273E+04       13070.       14310.
     27  5.4836039E+04       14310.       15650.
     28  4.9269730E+04       15650.       16880.
     29  5.1363723E+04       16880.       18620.
     30  3.3088152E+04       18620.       20200.
     31  3.3289664E+04       20200.       22030.
     32  3.9646898E+04       22030.       24810.
     33  1.4947611E+04       24810.       26600.
     34  1.6961779E+04       26600.       29200.
     35  1.5218281E+04       29200.       32390.
     36  1.3511386E+04       32390.       35770.
     37  1.3890807E+04       35770.       40100.
     38  3.9357844E+03       40100.       41720.
