    n     flux[photons/s/cm^2]     w-range[A]
      1  1.5452374E+03       1754.       1770.
      2  2.2352493E+03       1770.       1786.
      3  4.0368650E+03       1786.       1802.
      4  4.4596577E+03       1802.       1818.
      5  6.3283911E+03       1818.       1835.
      6  5.8079019E+03       1835.       1852.
      7  8.6022432E+03       1852.       1869.
      8  6.1865742E+03       1869.       1887.
      9  1.9377176E+04       1887.       1905.
     10  1.6389131E+04       1905.       1923.
     11  5.7862457E+04       1923.       1942.
     12  5.7898918E+04       1942.       1961.
     13  7.9617430E+04       1961.       1980.
     14  1.2142324E+05       1980.       2000.
     15  1.6456606E+05       2000.       2020.
     16  2.0898112E+05       2020.       2041.
     17  2.3841784E+05       2041.       2062.
     18  3.6136269E+05       2062.       2083.
     19  1.6328974E+06       2083.       2105.
     20  1.0617491E+06       2105.       2128.
     21  2.0485860E+06       2128.       2151.
     22  1.5975961E+06       2151.       2174.
     23  6.2113495E+06       2174.       2200.
     24  2.3806078E+06       2200.       2222.
     25  1.3509221E+07       2222.       2247.
     26  4.6554995E+06       2247.       2273.
     27  2.5617350E+07       2273.       2299.
     28  3.3090102E+07       2299.       2326.
     29  7.0277936E+07       2326.       2353.
     30  2.4335676E+07       2353.       2381.
     31  1.7658565E+08       2381.       2410.
     32  3.5308346E+08       2410.       2439.
     33  5.5934035E+08       2439.       2469.
     34  2.9213488E+08       2469.       2500.
     35  4.4830925E+08       2500.       2532.
     36  1.3306076E+09       2532.       2564.
     37  7.9417786E+08       2564.       2597.
     38  8.1791980E+09       2597.       2632.
     39  6.7129718E+09       2632.       2667.
     40  1.3302019E+10       2667.       2703.
     41  1.3178135E+10       2703.       2740.
     42  1.9533640E+10       2740.       2778.
     43  1.6740062E+10       2778.       2817.
     44  1.4094128E+10       2817.       2857.
     45  6.0580028E+10       2857.       2899.
     46  1.1161521E+11       2899.       2941.
     47  1.0619194E+11       2941.       2985.
     48  9.1625988E+10       2985.       3030.
     49  1.5724116E+11       3030.       3077.
     50  2.2839989E+11       3077.       3125.
     51  8.0359378E+11       3125.       3175.
     52  1.2337912E+12       3175.       3225.
     53  1.2624694E+12       3225.       3275.
     54  3.4212835E+12       3275.       3325.
     55  3.2997355E+12       3325.       3375.
     56  2.8593868E+12       3375.       3425.
     57  8.0008105E+11       3425.       3450.
     58  6.8199168E+12       3450.       3550.
     59  6.7663141E+12       3550.       3650.
     60  1.1654614E+13       3650.       3750.
     61  1.7070811E+13       3750.       3850.
     62  1.2886101E+13       3850.       3950.
     63  3.7178004E+13       3950.       4050.
     64  5.9013144E+13       4050.       4150.
     65  3.2634460E+13       4150.       4250.
     66  4.8033316E+13       4250.       4350.
     67  8.4855191E+13       4350.       4450.
     68  1.0540551E+14       4450.       4550.
     69  1.2478702E+14       4550.       4650.
     70  1.3183502E+14       4650.       4750.
     71  1.1541637E+14       4750.       4850.
     72  1.8747420E+14       4850.       4950.
     73  1.2313508E+14       4950.       5050.
     74  1.4430646E+14       5050.       5150.
     75  1.4591521E+14       5150.       5250.
     76  2.4532893E+14       5250.       5350.
     77  3.0373086E+14       5350.       5450.
     78  2.6486704E+14       5450.       5550.
     79  2.7031712E+14       5550.       5650.
     80  3.4539630E+14       5650.       5750.
     81  3.9629113E+14       5750.       5850.
     82  2.1535099E+14       5850.       5950.
     83  3.7083415E+14       5950.       6050.
     84  4.7177377E+14       6050.       6150.
     85  2.6619127E+14       6150.       6250.
     86  3.4077549E+14       6250.       6350.
     87  4.0056674E+14       6350.       6450.
     88  4.9753693E+14       6450.       6550.
     89  5.9054015E+14       6550.       6650.
     90  4.2443216E+14       6650.       6750.
     91  3.9802734E+14       6750.       6850.
     92  4.0407750E+14       6850.       6950.
     93  6.8698686E+14       6950.       7050.
     94  4.9678816E+14       7050.       7150.
     95  5.3008480E+14       7150.       7250.
     96  9.2257381E+14       7250.       7350.
     97  1.1921330E+15       7350.       7450.
     98  1.2736558E+15       7450.       7550.
     99  1.1806028E+15       7550.       7650.
    100  9.2162220E+14       7650.       7750.
    101  1.0404561E+15       7750.       7850.
    102  1.1797392E+15       7850.       7950.
    103  1.3471709E+15       7950.       8050.
    104  1.4858906E+15       8050.       8150.
    105  1.4535677E+15       8150.       8250.
    106  1.4962943E+15       8250.       8350.
    107  1.4379359E+15       8350.       8450.
    108  1.3663307E+15       8450.       8550.
