 Reaction rate profiles


     Z  Rx#       1          2          3          4          5          6          7          8          9         10
  3.250E-01  4.698E+03  4.062E+00  4.878E-01  3.621E+02  3.379E-02  3.432E+04  1.367E-06  3.418E-07  1.538E-05  1.286E-07
  9.750E-01  4.566E+03  4.511E+00  4.571E-01  3.776E+02  4.016E-02  3.671E+04  1.688E-06  4.221E-07  1.899E-05  1.713E-07
  1.625E+00  4.330E+03  4.962E+00  4.268E-01  3.811E+02  4.640E-02  3.813E+04  1.957E-06  4.892E-07  2.202E-05  2.216E-07
  2.275E+00  4.083E+03  5.393E+00  3.970E-01  3.825E+02  5.353E-02  3.949E+04  2.257E-06  5.642E-07  2.539E-05  2.858E-07
  2.925E+00  3.755E+03  5.817E+00  3.672E-01  3.785E+02  6.106E-02  4.046E+04  2.551E-06  6.378E-07  2.870E-05  3.641E-07
  3.575E+00  3.439E+03  6.211E+00  3.376E-01  3.728E+02  6.949E-02  4.136E+04  2.874E-06  7.186E-07  3.234E-05  4.625E-07
  4.225E+00  3.070E+03  6.586E+00  3.078E-01  3.618E+02  7.808E-02  4.182E+04  3.175E-06  7.937E-07  3.572E-05  5.796E-07
  4.875E+00  2.725E+03  6.920E+00  2.784E-01  3.485E+02  8.720E-02  4.209E+04  3.487E-06  8.717E-07  3.923E-05  7.214E-07
  5.525E+00  2.358E+03  7.219E+00  2.490E-01  3.297E+02  9.585E-02  4.181E+04  3.750E-06  9.376E-07  4.219E-05  8.829E-07
  6.175E+00  2.018E+03  7.469E+00  2.202E-01  3.070E+02  1.038E-01  4.102E+04  3.978E-06  9.944E-07  4.475E-05  1.064E-06
  6.825E+00  1.689E+03  7.670E+00  1.919E-01  2.792E+02  1.100E-01  3.953E+04  4.124E-06  1.031E-06  4.639E-05  1.252E-06
  7.475E+00  1.377E+03  7.816E+00  1.648E-01  2.496E+02  1.146E-01  3.762E+04  4.200E-06  1.050E-06  4.725E-05  1.450E-06
  8.125E+00  1.092E+03  7.883E+00  1.422E-01  2.224E+02  1.189E-01  3.562E+04  4.291E-06  1.073E-06  4.828E-05  1.670E-06
  8.775E+00  8.488E+02  7.880E+00  1.209E-01  1.974E+02  1.229E-01  3.378E+04  4.427E-06  1.107E-06  4.981E-05  1.917E-06
  9.425E+00  6.398E+02  7.814E+00  1.006E-01  1.747E+02  1.270E-01  3.217E+04  4.637E-06  1.159E-06  5.217E-05  2.200E-06
  1.007E+01  4.655E+02  7.685E+00  8.151E-02  1.527E+02  1.298E-01  3.054E+04  4.895E-06  1.224E-06  5.507E-05  2.501E-06
  1.072E+01  3.250E+02  7.493E+00  6.406E-02  1.307E+02  1.305E-01  2.871E+04  5.005E-06  1.251E-06  5.630E-05  2.799E-06
  1.138E+01  2.163E+02  7.243E+00  4.874E-02  1.045E+02  1.232E-01  2.555E+04  4.546E-06  1.136E-06  5.114E-05  2.943E-06
  1.203E+01  1.411E+02  6.957E+00  3.709E-02  7.955E+01  1.108E-01  2.165E+04  3.770E-06  9.424E-07  4.241E-05  2.945E-06
  1.268E+01  1.019E+02  6.666E+00  3.022E-02  6.384E+01  1.037E-01  1.884E+04  3.437E-06  8.593E-07  3.867E-05  3.068E-06
  1.332E+01  8.028E+01  6.378E+00  2.618E-02  5.408E+01  1.013E-01  1.691E+04  3.455E-06  8.638E-07  3.887E-05  3.334E-06
  1.397E+01  6.236E+01  6.085E+00  2.294E-02  4.546E+01  9.802E-02  1.500E+04  3.419E-06  8.547E-07  3.846E-05  3.587E-06
  1.462E+01  4.854E+01  5.797E+00  2.029E-02  3.810E+01  9.461E-02  1.323E+04  3.373E-06  8.432E-07  3.794E-05  3.848E-06
  1.528E+01  3.942E+01  5.524E+00  1.833E-02  3.247E+01  9.277E-02  1.179E+04  3.434E-06  8.585E-07  3.863E-05  4.192E-06
  1.593E+01  3.237E+01  5.286E+00  1.702E-02  2.828E+01  9.311E-02  1.064E+04  3.649E-06  9.121E-07  4.105E-05  4.673E-06
  1.657E+01  3.132E+01  5.114E+00  1.647E-02  2.547E+01  9.719E-02  9.815E+03  4.139E-06  1.035E-06  4.656E-05  5.414E-06
  1.723E+01  3.080E+01  5.027E+00  1.619E-02  2.293E+01  1.034E-01  9.066E+03  4.737E-06  1.184E-06  5.329E-05  6.391E-06
  1.788E+01  3.083E+01  5.030E+00  1.609E-02  2.069E+01  1.125E-01  8.418E+03  5.448E-06  1.362E-06  6.129E-05  7.723E-06
  1.852E+01  3.171E+01  5.169E+00  1.660E-02  1.926E+01  1.298E-01  8.039E+03  6.576E-06  1.644E-06  7.398E-05  9.887E-06
  1.918E+01  3.357E+01  5.468E+00  1.788E-02  1.878E+01  1.611E-01  7.996E+03  8.410E-06  2.102E-06  9.461E-05  1.362E-05
  1.982E+01  3.636E+01  5.913E+00  1.989E-02  1.915E+01  2.133E-01  8.280E+03  1.127E-05  2.817E-06  1.268E-04  2.003E-05
  2.048E+01  4.152E+01  6.738E+00  2.324E-02  2.086E+01  3.184E-01  9.174E+03  1.651E-05  4.128E-06  1.858E-04  3.324E-05
  2.112E+01  4.839E+01  7.829E+00  2.764E-02  2.365E+01  5.045E-01  1.057E+04  2.513E-05  6.282E-06  2.827E-04  5.860E-05
  2.177E+01  5.655E+01  9.113E+00  3.300E-02  2.720E+01  8.120E-01  1.235E+04  3.833E-05  9.583E-06  4.312E-04  1.051E-04
  2.243E+01  6.668E+01  1.070E+01  3.884E-02  3.140E+01  1.329E+00  1.458E+04  5.851E-05  1.463E-05  6.582E-04  1.920E-04
