        w[A]   flux[photons/s/cm^2/A]
 
       1725.  3.7198391E+04
       1675.  6.6031787E+03
       1625.  2.7980740E+03
       1575.  1.6205952E+03
       1525.  8.7239594E+02
       1475.  2.7886871E+02
       1425.  1.8401009E+02
       1375.  1.4358643E+01
       1325.  4.9042931E+00
       1216.  1.6668695E-04
