        w[A]   flux[photons/s/cm^2/A]
 
       1725.  1.2502793E+05
       1675.  2.2194018E+04
       1625.  9.4046377E+03
       1575.  5.4470005E+03
       1525.  2.9322197E+03
       1475.  9.3730872E+02
       1425.  6.1847833E+02
       1375.  4.8260994E+01
       1325.  1.6483875E+01
       1216.  5.6025339E-04
