        w[A]   flux[photons/s/cm^2/A]
 
       1725.  4.5010059E+04
       1675.  7.9898472E+03
       1625.  3.3856699E+03
       1575.  1.9609204E+03
       1525.  1.0555992E+03
       1475.  3.3743115E+02
       1425.  2.2265222E+02
       1375.  1.7373959E+01
       1325.  5.9341955E+00
       1216.  2.0169123E-04
