    n        flux[ergs/s/cm^2]     w-range[A]
      1  2.5696916E-04       2000.       2020.
      2  3.1478825E-04       2020.       2041.
      3  3.8231284E-04       2041.       2062.
      4  4.6159813E-04       2062.       2083.
      5  8.8584080E-04       2083.       2105.
      6  8.2459196E-04       2105.       2128.
      7  1.2153094E-03       2128.       2151.
      8  1.1538770E-03       2151.       2174.
      9  2.1484776E-03       2174.       2200.
     10  1.7117454E-03       2200.       2222.
     11  3.8310401E-03       2222.       2247.
     12  2.7046716E-03       2247.       2273.
     13  5.0112312E-03       2273.       2299.
     14  7.5445515E-03       2299.       2326.
     15  1.0996406E-02       2326.       2353.
     16  8.0504874E-03       2353.       2381.
 
      1  1.8265033E+00       2376.       2750.
      2  1.6290860E+00       2750.       2850.
      3  1.2024582E+01       2850.       3071.
      4  2.0729813E+01       3071.       3200.
      5  3.6765007E+01       3200.       3292.
      6  8.3885582E+01       3292.       3412.
      7  5.6657990E+02       3412.       3900.
      8  2.7608662E+03       3900.       4500.
      9  9.1906445E+03       4500.       5400.
     10  1.3579647E+03       5400.       5495.
     11  2.5793274E+03       5495.       5666.
     12  6.7403745E+03       5666.       6050.
     13  3.4981841E+03       6050.       6250.
     14  8.1135376E+03       6250.       6667.
     15  4.3600142E+03       6667.       6910.
     16  1.4985132E+04       6910.       7520.
     17  9.1725371E+03       7520.       7840.
     18  1.7902002E+04       7840.       8420.
     19  1.4616055E+04       8420.       8910.
     20  2.1075383E+04       8910.       9620.
     21  2.0807604E+04       9620.       10360.
     22  9.3457852E+03       10360.       10700.
     23  1.5785116E+04       10700.       11300.
     24  1.7770713E+04       11300.       12030.
     25  2.3314465E+04       12030.       13070.
     26  2.3678506E+04       13070.       14310.
     27  2.1707992E+04       14310.       15650.
     28  1.8300775E+04       15650.       16880.
     29  2.0129234E+04       16880.       18620.
     30  1.3312640E+04       18620.       20200.
     31  1.2596067E+04       20200.       22030.
     32  1.3986776E+04       22030.       24810.
     33  5.4953193E+03       24810.       26600.
     34  6.3325796E+03       26600.       29200.
     35  5.4849731E+03       29200.       32390.
     36  4.5872939E+03       32390.       35770.
     37  4.4485137E+03       35770.       40100.
     38  1.2619608E+03       40100.       41720.
