        w[A]   flux[photons/s/cm^2/A]
 
       1725.  3.1256982E+04
       1675.  5.5485044E+03
       1625.  2.3511594E+03
       1575.  1.3617501E+03
       1525.  7.3305493E+02
       1475.  2.3432718E+02
       1425.  1.5461958E+02
       1375.  1.2065248E+01
       1325.  4.1209688E+00
       1216.  1.4006335E-04
