    n        flux[ergs/s/cm^2]     w-range[A]
      1  6.3455646E-04       2000.       2020.
      2  7.7733421E-04       2020.       2041.
      3  9.4407861E-04       2041.       2062.
      4  1.1398647E-03       2062.       2083.
      5  2.1874844E-03       2083.       2105.
      6  2.0362372E-03       2105.       2128.
      7  3.0010701E-03       2128.       2151.
      8  2.8493698E-03       2151.       2174.
      9  5.3054243E-03       2174.       2200.
     10  4.2269630E-03       2200.       2222.
     11  9.4603235E-03       2222.       2247.
     12  6.6788825E-03       2247.       2273.
     13  1.2374673E-02       2273.       2299.
     14  1.8630423E-02       2299.       2326.
     15  2.7154390E-02       2326.       2353.
     16  1.9879775E-02       2353.       2381.
 
      1  4.5103445E+00       2376.       2750.
      2  4.0228448E+00       2750.       2850.
      3  2.9693356E+01       2850.       3071.
      4  5.1189941E+01       3071.       3200.
      5  9.0787056E+01       3200.       3292.
      6  2.0714601E+02       3292.       3412.
      7  1.3991053E+03       3412.       3900.
      8  6.8176489E+03       3900.       4500.
      9  2.2695266E+04       4500.       5400.
     10  3.3533413E+03       5400.       5495.
     11  6.3693594E+03       5495.       5666.
     12  1.6644598E+04       5666.       6050.
     13  8.6383730E+03       6050.       6250.
     14  2.0035471E+04       6250.       6667.
     15  1.0766565E+04       6667.       6910.
     16  3.7004102E+04       6910.       7520.
     17  2.2650551E+04       7520.       7840.
     18  4.4206984E+04       7840.       8420.
     19  3.6092707E+04       8420.       8910.
     20  5.2043289E+04       8910.       9620.
     21  5.1382039E+04       9620.       10360.
     22  2.3078367E+04       10360.       10700.
     23  3.8979570E+04       10700.       11300.
     24  4.3882781E+04       11300.       12030.
     25  5.7572453E+04       12030.       13070.
     26  5.8471414E+04       13070.       14310.
     27  5.3605449E+04       14310.       15650.
     28  4.5191711E+04       15650.       16880.
     29  4.9706883E+04       16880.       18620.
     30  3.2874070E+04       18620.       20200.
     31  3.1104574E+04       20200.       22030.
     32  3.4538773E+04       22030.       24810.
     33  1.3570073E+04       24810.       26600.
     34  1.5637595E+04       26600.       29200.
     35  1.3544525E+04       29200.       32390.
     36  1.1327808E+04       32390.       35770.
     37  1.0985105E+04       35770.       40100.
     38  3.1162705E+03       40100.       41720.
