        w[A]   flux[photons/s/cm^2/A]
 
       1725.  5.5567973E+04
       1675.  9.8640088E+03
       1625.  4.1798394E+03
       1575.  2.4208894E+03
       1525.  1.3032089E+03
       1475.  4.1658167E+02
       1425.  2.7487927E+02
       1375.  2.1449331E+01
       1325.  7.3261666E+00
       1216.  2.4900152E-04
