    n     flux[photons/s/cm^2]     w-range[A]
      1  4.8084309E+05       1754.       1770.
      2  7.1622819E+05       1770.       1786.
      3  1.0731036E+06       1786.       1802.
      4  1.1305505E+06       1802.       1818.
      5  1.4330692E+06       1818.       1835.
      6  1.6252594E+06       1835.       1852.
      7  2.3536962E+06       1852.       1869.
      8  1.8547095E+06       1869.       1887.
      9  3.9529360E+06       1887.       1905.
     10  3.6627388E+06       1905.       1923.
     11  8.8878690E+06       1923.       1942.
     12  9.4766980E+06       1942.       1961.
     13  1.2625078E+07       1961.       1980.
     14  1.7354228E+07       1980.       2000.
     15  2.1842186E+07       2000.       2020.
     16  2.7030378E+07       2020.       2041.
     17  3.3167362E+07       2041.       2062.
     18  4.0430536E+07       2062.       2083.
     19  7.8463776E+07       2083.       2105.
     20  7.3728616E+07       2105.       2128.
     21  1.0993320E+08       2128.       2151.
     22  1.0545930E+08       2151.       2174.
     23  1.9861390E+08       2174.       2200.
     24  1.5994184E+08       2200.       2222.
     25  3.6182112E+08       2222.       2247.
     26  2.5853202E+08       2247.       2273.
     27  4.8448394E+08       2273.       2299.
     28  7.3814253E+08       2299.       2326.
     29  1.0865892E+09       2326.       2353.
     30  8.0503859E+08       2353.       2381.
     31  1.7629366E+09       2381.       2410.
     32  2.8570808E+09       2410.       2439.
     33  3.9943588E+09       2439.       2469.
     34  3.6317486E+09       2469.       2500.
     35  5.3842785E+09       2500.       2532.
     36  8.7859036E+09       2532.       2564.
     37  7.9637857E+09       2564.       2597.
     38  3.0635493E+10       2597.       2632.
     39  2.7767314E+10       2632.       2667.
     40  4.4829696E+10       2667.       2703.
     41  5.3165351E+10       2703.       2740.
     42  7.3722536E+10       2740.       2778.
     43  6.9131428E+10       2778.       2817.
     44  7.0582272E+10       2817.       2857.
     45  2.1041722E+11       2857.       2899.
     46  2.9122088E+11       2899.       2941.
     47  3.2011616E+11       2941.       2985.
     48  3.1265961E+11       2985.       3030.
     49  4.4423001E+11       3030.       3077.
     50  4.8621699E+11       3077.       3125.
     51  1.2396020E+12       3125.       3175.
     52  2.0272736E+12       3175.       3225.
     53  2.0247195E+12       3225.       3275.
     54  5.3703124E+12       3275.       3325.
     55  4.8486144E+12       3325.       3375.
     56  5.1145359E+12       3375.       3425.
     57  1.6435467E+12       3425.       3450.
     58  1.2899539E+13       3450.       3550.
     59  1.2573667E+13       3550.       3650.
     60  2.1059095E+13       3650.       3750.
     61  2.8535008E+13       3750.       3850.
     62  2.3821262E+13       3850.       3950.
     63  5.6811630E+13       3950.       4050.
     64  8.5089040E+13       4050.       4150.
     65  6.1142035E+13       4150.       4250.
     66  7.5290248E+13       4250.       4350.
     67  1.2715700E+14       4350.       4450.
     68  1.4511941E+14       4450.       4550.
     69  1.8569724E+14       4550.       4650.
     70  1.9445881E+14       4650.       4750.
     71  1.8569043E+14       4750.       4850.
     72  2.4660996E+14       4850.       4950.
     73  1.8163346E+14       4950.       5050.
     74  1.8859898E+14       5050.       5150.
     75  1.9035761E+14       5150.       5250.
     76  3.0542905E+14       5250.       5350.
     77  3.5568835E+14       5350.       5450.
     78  3.4236117E+14       5450.       5550.
     79  3.5054563E+14       5550.       5650.
     80  4.2570877E+14       5650.       5750.
     81  4.8297092E+14       5750.       5850.
     82  3.4759362E+14       5850.       5950.
     83  4.7244875E+14       5950.       6050.
     84  5.3017378E+14       6050.       6150.
     85  3.7835759E+14       6150.       6250.
     86  4.4964704E+14       6250.       6350.
     87  4.8921359E+14       6350.       6450.
     88  5.4274626E+14       6450.       6550.
     89  6.2899159E+14       6550.       6650.
     90  5.3240576E+14       6650.       6750.
     91  5.1079513E+14       6750.       6850.
     92  5.1106380E+14       6850.       6950.
     93  7.1443560E+14       6950.       7050.
     94  5.8461424E+14       7050.       7150.
     95  6.0661843E+14       7150.       7250.
     96  8.3288113E+14       7250.       7350.
     97  9.5427308E+14       7350.       7450.
     98  1.0031690E+15       7450.       7550.
     99  9.7224738E+14       7550.       7650.
    100  8.7539265E+14       7650.       7750.
    101  9.1693250E+14       7750.       7850.
    102  9.7286720E+14       7850.       7950.
    103  1.0498154E+15       7950.       8050.
    104  1.0964435E+15       8050.       8150.
    105  1.0853123E+15       8150.       8250.
    106  1.1005306E+15       8250.       8350.
    107  1.0575431E+15       8350.       8450.
    108  1.0490140E+15       8450.       8550.
