    n     flux[photons/s/cm^2]     w-range[A]
      1  1.0730814E+03       1754.       1770.
      2  1.5522563E+03       1770.       1786.
      3  2.8033782E+03       1786.       1802.
      4  3.0969844E+03       1802.       1818.
      5  4.3947158E+03       1818.       1835.
      6  4.0332649E+03       1835.       1852.
      7  5.9737793E+03       1852.       1869.
      8  4.2962319E+03       1869.       1887.
      9  1.3456371E+04       1887.       1905.
     10  1.1381341E+04       1905.       1923.
     11  4.0182258E+04       1923.       1942.
     12  4.0207582E+04       1942.       1961.
     13  5.5289879E+04       1961.       1980.
     14  8.4321688E+04       1980.       2000.
     15  1.1428198E+05       2000.       2020.
     16  1.4512577E+05       2020.       2041.
     17  1.6556794E+05       2041.       2062.
     18  2.5094630E+05       2062.       2083.
     19  1.1339564E+06       2083.       2105.
     20  7.3732575E+05       2105.       2128.
     21  1.4226290E+06       2128.       2151.
     22  1.1094416E+06       2151.       2174.
     23  4.3134370E+06       2174.       2200.
     24  1.6531998E+06       2200.       2222.
     25  9.3814030E+06       2222.       2247.
     26  3.2329855E+06       2247.       2273.
     27  1.7789826E+07       2273.       2299.
     28  2.2979236E+07       2299.       2326.
     29  4.8804120E+07       2326.       2353.
     30  1.6899774E+07       2353.       2381.
     31  1.2262891E+08       2381.       2410.
     32  2.4519682E+08       2410.       2439.
     33  3.8843078E+08       2439.       2469.
     34  2.0287142E+08       2469.       2500.
     35  3.1132582E+08       2500.       2532.
     36  9.2403302E+08       2532.       2564.
     37  5.5151238E+08       2564.       2597.
     38  5.6799985E+09       2597.       2632.
     39  4.6617856E+09       2632.       2667.
     40  9.2375122E+09       2667.       2703.
     41  9.1514819E+09       2703.       2740.
     42  1.3565026E+10       2740.       2778.
     43  1.1625042E+10       2778.       2817.
     44  9.7875886E+09       2817.       2857.
     45  4.2069463E+10       2857.       2899.
     46  7.7510558E+10       2899.       2941.
     47  7.3744392E+10       2941.       2985.
     48  6.3629156E+10       2985.       3030.
     49  1.0919525E+11       3030.       3077.
     50  1.5861103E+11       3077.       3125.
     51  5.5805123E+11       3125.       3175.
     52  8.5679938E+11       3175.       3225.
     53  8.7671485E+11       3225.       3275.
     54  2.3758913E+12       3275.       3325.
     55  2.2914828E+12       3325.       3375.
     56  1.9856851E+12       3375.       3425.
     57  5.5561178E+11       3425.       3450.
     58  4.7360529E+12       3450.       3550.
     59  4.6988290E+12       3550.       3650.
     60  8.0934810E+12       3650.       3750.
     61  1.1854728E+13       3750.       3850.
     62  8.9486808E+12       3850.       3950.
     63  2.5818057E+13       3950.       4050.
     64  4.0981349E+13       4050.       4150.
     65  2.2662819E+13       4150.       4250.
     66  3.3356465E+13       4250.       4350.
     67  5.8927216E+13       4350.       4450.
     68  7.3198264E+13       4450.       4550.
     69  8.6657651E+13       4550.       4650.
     70  9.1552093E+13       4650.       4750.
     71  8.0150255E+13       4750.       4850.
     72  1.3019041E+14       4850.       4950.
     73  8.5510467E+13       4950.       5050.
     74  1.0021281E+14       5050.       5150.
     75  1.0132999E+14       5150.       5250.
     76  1.7036731E+14       5250.       5350.
     77  2.1092420E+14       5350.       5450.
     78  1.8393543E+14       5450.       5550.
     79  1.8772022E+14       5550.       5650.
     80  2.3985854E+14       5650.       5750.
     81  2.7520214E+14       5750.       5850.
     82  1.4954928E+14       5850.       5950.
     83  2.5752369E+14       5950.       6050.
     84  3.2762064E+14       6050.       6150.
     85  1.8485504E+14       6150.       6250.
     86  2.3664963E+14       6250.       6350.
     87  2.7817132E+14       6350.       6450.
     88  3.4551173E+14       6450.       6550.
     89  4.1009727E+14       6550.       6650.
     90  2.9474451E+14       6650.       6750.
     91  2.7640784E+14       6750.       6850.
     92  2.8060934E+14       6850.       6950.
     93  4.7707416E+14       6950.       7050.
     94  3.4499177E+14       7050.       7150.
     95  3.6811440E+14       7150.       7250.
     96  6.4067618E+14       7250.       7350.
     97  8.2787005E+14       7350.       7450.
     98  8.8448315E+14       7450.       7550.
     99  8.1986295E+14       7550.       7650.
    100  6.4001536E+14       7650.       7750.
    101  7.2253893E+14       7750.       7850.
    102  8.1926327E+14       7850.       7950.
    103  9.3553521E+14       7950.       8050.
    104  1.0318684E+15       8050.       8150.
    105  1.0094219E+15       8150.       8250.
    106  1.0390931E+15       8250.       8350.
    107  9.9856654E+14       8350.       8450.
    108  9.4884075E+14       8450.       8550.
