    n        flux[ergs/s/cm^2]     w-range[A]
      1  2.5415090E-06       2000.       2020.
      2  3.1949885E-06       2020.       2041.
      3  3.6076854E-06       2041.       2062.
      4  5.4159950E-06       2062.       2083.
      5  2.4196706E-05       2083.       2105.
      6  1.5595167E-05       2105.       2128.
      7  2.9719389E-05       2128.       2151.
      8  2.2943535E-05       2151.       2174.
      9  8.8332279E-05       2174.       2200.
     10  3.3449567E-05       2200.       2222.
     11  1.8798962E-04       2222.       2247.
     12  6.3898224E-05       2247.       2273.
     13  3.4757124E-04       2273.       2299.
     14  4.4373193E-04       2299.       2326.
     15  9.3431829E-04       2326.       2353.
     16  3.1969542E-04       2353.       2381.
 
      1  5.6116498E-01       2376.       2750.
      2  5.2377981E-01       2750.       2850.
      3  5.1986108E+00       2850.       3071.
      4  1.5676263E+01       3071.       3200.
      5  3.0645313E+01       3200.       3292.
      6  7.0381020E+01       3292.       3412.
      7  4.1284076E+02       3412.       3900.
      8  2.3475930E+03       3900.       4500.
      9  8.8545137E+03       4500.       5400.
     10  1.4434873E+03       5400.       5495.
     11  2.6386655E+03       5495.       5666.
     12  6.8049644E+03       5666.       6050.
     13  3.7362812E+03       6050.       6250.
     14  9.2038213E+03       6250.       6667.
     15  4.4899360E+03       6667.       6910.
     16  2.0759857E+04       6910.       7520.
     17  1.3865553E+04       7520.       7840.
     18  3.0921131E+04       7840.       8420.
     19  2.5915561E+04       8420.       8910.
     20  3.9439195E+04       8910.       9620.
     21  4.0386023E+04       9620.       10360.
     22  1.8925467E+04       10360.       10700.
     23  3.2652639E+04       10700.       11300.
     24  3.6930457E+04       11300.       12030.
     25  4.9477832E+04       12030.       13070.
     26  4.7165773E+04       13070.       14310.
     27  4.1983844E+04       14310.       15650.
     28  3.7722141E+04       15650.       16880.
     29  3.9325352E+04       16880.       18620.
     30  2.5333119E+04       18620.       20200.
     31  2.5487400E+04       20200.       22030.
     32  3.0354660E+04       22030.       24810.
     33  1.1444266E+04       24810.       26600.
     34  1.2986363E+04       26600.       29200.
     35  1.1651497E+04       29200.       32390.
     36  1.0344655E+04       32390.       35770.
     37  1.0635149E+04       35770.       40100.
     38  3.0133350E+03       40100.       41720.
