    n        flux[ergs/s/cm^2]     w-range[A]
      1  1.9899690E-04       2000.       2020.
      2  2.4377201E-04       2020.       2041.
      3  2.9606305E-04       2041.       2062.
      4  3.5746157E-04       2062.       2083.
      5  6.8599510E-04       2083.       2105.
      6  6.3856400E-04       2105.       2128.
      7  9.4113557E-04       2128.       2151.
      8  8.9356233E-04       2151.       2174.
      9  1.6637810E-03       2174.       2200.
     10  1.3255756E-03       2200.       2222.
     11  2.9667574E-03       2222.       2247.
     12  2.0944977E-03       2247.       2273.
     13  3.8806975E-03       2273.       2299.
     14  5.8425008E-03       2299.       2326.
     15  8.5156169E-03       2326.       2353.
     16  6.2342971E-03       2353.       2381.
 
      1  1.4144441E+00       2376.       2750.
      2  1.2615641E+00       2750.       2850.
      3  9.3118362E+00       2850.       3071.
      4  1.6053165E+01       3071.       3200.
      5  2.8470821E+01       3200.       3292.
      6  6.4960991E+01       3292.       3412.
      7  4.3875946E+02       3412.       3900.
      8  2.1380146E+03       3900.       4500.
      9  7.1172354E+03       4500.       5400.
     10  1.0516078E+03       5400.       5495.
     11  1.9974312E+03       5495.       5666.
     12  5.2197461E+03       5666.       6050.
     13  2.7089937E+03       6050.       6250.
     14  6.2831235E+03       6250.       6667.
     15  3.3763950E+03       6667.       6910.
     16  1.1604486E+04       6910.       7520.
     17  7.1032129E+03       7520.       7840.
     18  1.3863311E+04       7840.       8420.
     19  1.1318673E+04       8420.       8910.
     20  1.6320775E+04       8910.       9620.
     21  1.6113407E+04       9620.       10360.
     22  7.2373765E+03       10360.       10700.
     23  1.2223994E+04       10700.       11300.
     24  1.3761640E+04       11300.       12030.
     25  1.8054721E+04       12030.       13070.
     26  1.8336635E+04       13070.       14310.
     27  1.6810668E+04       14310.       15650.
     28  1.4172120E+04       15650.       16880.
     29  1.5588079E+04       16880.       18620.
     30  1.0309309E+04       18620.       20200.
     31  9.7543945E+03       20200.       22030.
     32  1.0831360E+04       22030.       24810.
     33  4.2555752E+03       24810.       26600.
     34  4.9039497E+03       26600.       29200.
     35  4.2475635E+03       29200.       32390.
     36  3.5524004E+03       32390.       35770.
     37  3.4449292E+03       35770.       40100.
     38  9.7726239E+02       40100.       41720.
