    n     flux[photons/s/cm^2]     w-range[A]
      1  1.9077004E+03       1754.       1770.
      2  2.7595671E+03       1770.       1786.
      3  4.9837837E+03       1786.       1802.
      4  5.5057505E+03       1802.       1818.
      5  7.8128286E+03       1818.       1835.
      6  7.1702490E+03       1835.       1852.
      7  1.0620053E+04       1852.       1869.
      8  7.6377461E+03       1869.       1887.
      9  2.3922439E+04       1887.       1905.
     10  2.0233494E+04       1905.       1923.
     11  7.1435133E+04       1923.       1942.
     12  7.1480148E+04       1942.       1961.
     13  9.8293125E+04       1961.       1980.
     14  1.4990523E+05       1980.       2000.
     15  2.0316798E+05       2000.       2020.
     16  2.5800138E+05       2020.       2041.
     17  2.9434300E+05       2041.       2062.
     18  4.4612678E+05       2062.       2083.
     19  2.0159225E+06       2083.       2105.
     20  1.3108014E+06       2105.       2128.
     21  2.5291185E+06       2128.       2151.
     22  1.9723409E+06       2151.       2174.
     23  7.6683325E+06       2174.       2200.
     24  2.9390220E+06       2200.       2222.
     25  1.6678050E+07       2222.       2247.
     26  5.7475300E+06       2247.       2273.
     27  3.1626358E+07       2273.       2299.
     28  4.0851976E+07       2299.       2326.
     29  8.6762880E+07       2326.       2353.
     30  3.0044042E+07       2353.       2381.
     31  2.1800698E+08       2381.       2410.
     32  4.3590547E+08       2410.       2439.
     33  6.9054362E+08       2439.       2469.
     34  3.6066032E+08       2469.       2500.
     35  5.5346816E+08       2500.       2532.
     36  1.6427255E+09       2532.       2564.
     37  9.8046643E+08       2564.       2597.
     38  1.0097776E+10       2597.       2632.
     39  8.2876191E+09       2632.       2667.
     40  1.6422245E+10       2667.       2703.
     41  1.6269302E+10       2703.       2740.
     42  2.4115603E+10       2740.       2778.
     43  2.0666743E+10       2778.       2817.
     44  1.7400158E+10       2817.       2857.
     45  7.4790158E+10       2857.       2899.
     46  1.3779655E+11       2899.       2941.
     47  1.3110116E+11       2941.       2985.
     48  1.1311850E+11       2985.       3030.
     49  1.9412489E+11       3030.       3077.
     50  2.8197516E+11       3077.       3125.
     51  9.9209105E+11       3125.       3175.
     52  1.5231990E+12       3175.       3225.
     53  1.5586042E+12       3225.       3275.
     54  4.2238067E+12       3275.       3325.
     55  4.0737471E+12       3325.       3375.
     56  3.5301071E+12       3375.       3425.
     57  9.8775433E+11       3425.       3450.
     58  8.4196500E+12       3450.       3550.
     59  8.3534739E+12       3550.       3650.
     60  1.4388412E+13       3650.       3750.
     61  2.1075075E+13       3750.       3850.
     62  1.5908768E+13       3850.       3950.
     63  4.5898772E+13       3950.       4050.
     64  7.2855732E+13       4050.       4150.
     65  4.0289457E+13       4150.       4250.
     66  5.9300387E+13       4250.       4350.
     67  1.0475950E+14       4350.       4450.
     68  1.3013026E+14       4450.       4550.
     69  1.5405804E+14       4550.       4650.
     70  1.6275928E+14       4650.       4750.
     71  1.4248935E+14       4750.       4850.
     72  2.3144963E+14       4850.       4950.
     73  1.5201861E+14       4950.       5050.
     74  1.7815612E+14       5050.       5150.
     75  1.8014222E+14       5150.       5250.
     76  3.0287522E+14       5250.       5350.
     77  3.7497635E+14       5350.       5450.
     78  3.2699633E+14       5450.       5550.
     79  3.3372483E+14       5550.       5650.
     80  4.2641519E+14       5650.       5750.
     81  4.8924828E+14       5750.       5850.
     82  2.6586540E+14       5850.       5950.
     83  4.5781992E+14       5950.       6050.
     84  5.8243676E+14       6050.       6150.
     85  3.2863117E+14       6150.       6250.
     86  4.2071047E+14       6250.       6350.
     87  4.9452683E+14       6350.       6450.
     88  6.1424314E+14       6450.       6550.
     89  7.2906184E+14       6550.       6650.
     90  5.2399027E+14       6650.       6750.
     91  4.9139174E+14       6750.       6850.
     92  4.9886109E+14       6850.       6950.
     93  8.4813189E+14       6950.       7050.
     94  6.1331871E+14       7050.       7150.
     95  6.5442564E+14       7150.       7250.
     96  1.1389800E+15       7250.       7350.
     97  1.4717691E+15       7350.       7450.
     98  1.5724145E+15       7450.       7550.
     99  1.4575342E+15       7550.       7650.
    100  1.1378052E+15       7650.       7750.
    101  1.2845137E+15       7750.       7850.
    102  1.4564681E+15       7850.       7950.
    103  1.6631737E+15       7950.       8050.
    104  1.8344329E+15       8050.       8150.
    105  1.7945278E+15       8150.       8250.
    106  1.8472767E+15       8250.       8350.
    107  1.7752294E+15       8350.       8450.
    108  1.6868280E+15       8450.       8550.
