    n     flux[photons/s/cm^2]     w-range[A]
      1  6.9241412E+05       1754.       1770.
      2  1.0313686E+06       1770.       1786.
      3  1.5452694E+06       1786.       1802.
      4  1.6279929E+06       1802.       1818.
      5  2.0636200E+06       1818.       1835.
      6  2.3403738E+06       1835.       1852.
      7  3.3893228E+06       1852.       1869.
      8  2.6707818E+06       1869.       1887.
      9  5.6922285E+06       1887.       1905.
     10  5.2743440E+06       1905.       1923.
     11  1.2798533E+07       1923.       1942.
     12  1.3646446E+07       1942.       1961.
     13  1.8180114E+07       1961.       1980.
     14  2.4990090E+07       1980.       2000.
     15  3.1452750E+07       2000.       2020.
     16  3.8923748E+07       2020.       2041.
     17  4.7761004E+07       2041.       2062.
     18  5.8219976E+07       2062.       2083.
     19  1.1298785E+08       2083.       2105.
     20  1.0616922E+08       2105.       2128.
     21  1.5830382E+08       2128.       2151.
     22  1.5186141E+08       2151.       2174.
     23  2.8600406E+08       2174.       2200.
     24  2.3031627E+08       2200.       2222.
     25  5.2102246E+08       2222.       2247.
     26  3.7228611E+08       2247.       2273.
     27  6.9765696E+08       2273.       2299.
     28  1.0629254E+09       2299.       2326.
     29  1.5646886E+09       2326.       2353.
     30  1.1592557E+09       2353.       2381.
     31  2.5386289E+09       2381.       2410.
     32  4.1141965E+09       2410.       2439.
     33  5.7518771E+09       2439.       2469.
     34  5.2297185E+09       2469.       2500.
     35  7.7533619E+09       2500.       2532.
     36  1.2651702E+10       2532.       2564.
     37  1.1467852E+10       2564.       2597.
     38  4.4115116E+10       2597.       2632.
     39  3.9984935E+10       2632.       2667.
     40  6.4554770E+10       2667.       2703.
     41  7.6558107E+10       2703.       2740.
     42  1.0616046E+11       2740.       2778.
     43  9.9549258E+10       2778.       2817.
     44  1.0163847E+11       2817.       2857.
     45  3.0300081E+11       2857.       2899.
     46  4.1935811E+11       2899.       2941.
     47  4.6096731E+11       2941.       2985.
     48  4.5022986E+11       2985.       3030.
     49  6.3969126E+11       3030.       3077.
     50  7.0015248E+11       3077.       3125.
     51  1.7850271E+12       3125.       3175.
     52  2.9192741E+12       3175.       3225.
     53  2.9155962E+12       3225.       3275.
     54  7.7332501E+12       3275.       3325.
     55  6.9820052E+12       3325.       3375.
     56  7.3649320E+12       3375.       3425.
     57  2.3667073E+12       3425.       3450.
     58  1.8575337E+13       3450.       3550.
     59  1.8106081E+13       3550.       3650.
     60  3.0325101E+13       3650.       3750.
     61  4.1090413E+13       3750.       3850.
     62  3.4302620E+13       3850.       3950.
     63  8.1808750E+13       3950.       4050.
     64  1.2252822E+14       4050.       4150.
     65  8.8044531E+13       4150.       4250.
     66  1.0841797E+14       4250.       4350.
     67  1.8310610E+14       4350.       4450.
     68  2.0897195E+14       4450.       4550.
     69  2.6740406E+14       4550.       4650.
     70  2.8002071E+14       4650.       4750.
     71  2.6739425E+14       4750.       4850.
     72  3.5511837E+14       4850.       4950.
     73  2.6155222E+14       4950.       5050.
     74  2.7158254E+14       5050.       5150.
     75  2.7411498E+14       5150.       5250.
     76  4.3981784E+14       5250.       5350.
     77  5.1219126E+14       5350.       5450.
     78  4.9300010E+14       5450.       5550.
     79  5.0478576E+14       5550.       5650.
     80  6.1302068E+14       5650.       5750.
     81  6.9547822E+14       5750.       5850.
     82  5.0053485E+14       5850.       5950.
     83  6.8032624E+14       5950.       6050.
     84  7.6345030E+14       6050.       6150.
     85  5.4483496E+14       6150.       6250.
     86  6.4749182E+14       6250.       6350.
     87  7.0446758E+14       6350.       6450.
     88  7.8155466E+14       6450.       6550.
     89  9.0574800E+14       6550.       6650.
     90  7.6666435E+14       6650.       6750.
     91  7.3554503E+14       6750.       6850.
     92  7.3593191E+14       6850.       6950.
     93  1.0287873E+15       6950.       7050.
     94  8.4184453E+14       7050.       7150.
     95  8.7353058E+14       7150.       7250.
     96  1.1993489E+15       7250.       7350.
     97  1.3741533E+15       7350.       7450.
     98  1.4445635E+15       7450.       7550.
     99  1.4000363E+15       7550.       7650.
    100  1.2605655E+15       7650.       7750.
    101  1.3203829E+15       7750.       7850.
    102  1.4009289E+15       7850.       7950.
    103  1.5117343E+15       7950.       8050.
    104  1.5788788E+15       8050.       8150.
    105  1.5628499E+15       8150.       8250.
    106  1.5847641E+15       8250.       8350.
    107  1.5228621E+15       8350.       8450.
    108  1.5105801E+15       8450.       8550.
