        w[A]   flux[photons/s/cm^2/A]
 
       1725.  9.1982872E+01
       1675.  7.0996213E+00
       1625.  1.6087847E+00
       1575.  1.0847642E+00
       1525.  8.1018591E-01
       1475.  3.9526963E-01
       1425.  2.2540152E-01
       1375.  3.2719572E-03
       1325.  9.4156328E-04
       1216.  2.4961557E-07
