    n     flux[photons/s/cm^2]     w-range[A]
      1  1.0818970E+06       1754.       1770.
      2  1.6115134E+06       1770.       1786.
      3  2.4144832E+06       1786.       1802.
      4  2.5437385E+06       1802.       1818.
      5  3.2244060E+06       1818.       1835.
      6  3.6568338E+06       1835.       1852.
      7  5.2958165E+06       1852.       1869.
      8  4.1730962E+06       1869.       1887.
      9  8.8941060E+06       1887.       1905.
     10  8.2411620E+06       1905.       1923.
     11  1.9997706E+07       1923.       1942.
     12  2.1322570E+07       1942.       1961.
     13  2.8406426E+07       1961.       1980.
     14  3.9047012E+07       1980.       2000.
     15  4.9144916E+07       2000.       2020.
     16  6.0818352E+07       2020.       2041.
     17  7.4626560E+07       2041.       2062.
     18  9.0968704E+07       2062.       2083.
     19  1.7654350E+08       2083.       2105.
     20  1.6588939E+08       2105.       2128.
     21  2.4734971E+08       2128.       2151.
     22  2.3728342E+08       2151.       2174.
     23  4.4688128E+08       2174.       2200.
     24  3.5986915E+08       2200.       2222.
     25  8.1409754E+08       2222.       2247.
     26  5.8169702E+08       2247.       2273.
     27  1.0900888E+09       2273.       2299.
     28  1.6608207E+09       2299.       2326.
     29  2.4448259E+09       2326.       2353.
     30  1.8113368E+09       2353.       2381.
     31  3.9666074E+09       2381.       2410.
     32  6.4284319E+09       2410.       2439.
     33  8.9873070E+09       2439.       2469.
     34  8.1714345E+09       2469.       2500.
     35  1.2114627E+10       2500.       2532.
     36  1.9768283E+10       2532.       2564.
     37  1.7918517E+10       2564.       2597.
     38  6.8929864E+10       2597.       2632.
     39  6.2476460E+10       2632.       2667.
     40  1.0086682E+11       2667.       2703.
     41  1.1962203E+11       2703.       2740.
     42  1.6587570E+11       2740.       2778.
     43  1.5554571E+11       2778.       2817.
     44  1.5881011E+11       2817.       2857.
     45  4.7343875E+11       2857.       2899.
     46  6.5524702E+11       2899.       2941.
     47  7.2026135E+11       2941.       2985.
     48  7.0348413E+11       2985.       3030.
     49  9.9951752E+11       3030.       3077.
     50  1.0939882E+12       3077.       3125.
     51  2.7891047E+12       3125.       3175.
     52  4.5613654E+12       3175.       3225.
     53  4.5556186E+12       3225.       3275.
     54  1.2083203E+13       3275.       3325.
     55  1.0909383E+13       3325.       3375.
     56  1.1507705E+13       3375.       3425.
     57  3.6979799E+12       3425.       3450.
     58  2.9023963E+13       3450.       3550.
     59  2.8290748E+13       3550.       3650.
     60  4.7382964E+13       3650.       3750.
     61  6.4203767E+13       3750.       3850.
     62  5.3597841E+13       3850.       3950.
     63  1.2782616E+14       3950.       4050.
     64  1.9145033E+14       4050.       4150.
     65  1.3756957E+14       4150.       4250.
     66  1.6940306E+14       4250.       4350.
     67  2.8610324E+14       4350.       4450.
     68  3.2651865E+14       4450.       4550.
     69  4.1781881E+14       4550.       4650.
     70  4.3753231E+14       4650.       4750.
     71  4.1780348E+14       4750.       4850.
     72  5.5487240E+14       4850.       4950.
     73  4.0867530E+14       4950.       5050.
     74  4.2434767E+14       5050.       5150.
     75  4.2830461E+14       5150.       5250.
     76  6.8721537E+14       5250.       5350.
     77  8.0029877E+14       5350.       5450.
     78  7.7031259E+14       5450.       5550.
     79  7.8872766E+14       5550.       5650.
     80  9.5784475E+14       5650.       5750.
     81  1.0866846E+15       5750.       5850.
     82  7.8208563E+14       5850.       5950.
     83  1.0630097E+15       5950.       6050.
     84  1.1928911E+15       6050.       6150.
     85  8.5130453E+14       6150.       6250.
     86  1.0117059E+15       6250.       6350.
     87  1.1007305E+15       6350.       6450.
     88  1.2211791E+15       6450.       6550.
     89  1.4152312E+15       6550.       6650.
     90  1.1979130E+15       6650.       6750.
     91  1.1492891E+15       6750.       6850.
     92  1.1498935E+15       6850.       6950.
     93  1.6074801E+15       6950.       7050.
     94  1.3153821E+15       7050.       7150.
     95  1.3648913E+15       7150.       7250.
     96  1.8739825E+15       7250.       7350.
     97  2.1471144E+15       7350.       7450.
     98  2.2571304E+15       7450.       7550.
     99  2.1875565E+15       7550.       7650.
    100  1.9696335E+15       7650.       7750.
    101  2.0630981E+15       7750.       7850.
    102  2.1889512E+15       7850.       7950.
    103  2.3620846E+15       7950.       8050.
    104  2.4669981E+15       8050.       8150.
    105  2.4419528E+15       8150.       8250.
    106  2.4761939E+15       8250.       8350.
    107  2.3794720E+15       8350.       8450.
    108  2.3602813E+15       8450.       8550.
