        w[A]   flux[photons/s/cm^2/A]
 
       1725.  7.0328211E+04
       1675.  1.2484135E+04
       1625.  5.2901089E+03
       1575.  3.0639380E+03
       1525.  1.6493737E+03
       1475.  5.2723615E+02
       1425.  3.4789407E+02
       1375.  2.7146809E+01
       1325.  9.2721796E+00
       1216.  3.1514253E-04
