        w[A]   flux[photons/s/cm^2/A]
 
       1725.  2.9331274E+02
       1675.  2.2639099E+01
       1625.  5.1300530E+00
       1575.  3.4590697E+00
       1525.  2.5835009E+00
       1475.  1.2604262E+00
       1425.  7.1875483E-01
       1375.  1.0433537E-02
       1325.  3.0024340E-03
       1216.  7.9596799E-07
