        w[A]   flux[photons/s/cm^2/A]
 
       1725.  2.2456757E+02
       1675.  1.7333061E+01
       1625.  3.9276969E+00
       1575.  2.6483505E+00
       1525.  1.9779930E+00
       1475.  9.6501380E-01
       1425.  5.5029666E-01
       1375.  7.9881772E-03
       1325.  2.2987386E-03
       1216.  6.0941301E-07
