        w[A]   flux[photons/s/cm^2/A]
 
       1725.  1.1877954E+02
       1675.  9.1678991E+00
       1625.  2.0774596E+00
       1575.  1.4007803E+00
       1525.  1.0462111E+00
       1475.  5.1042050E-01
       1425.  2.9106602E-01
       1375.  4.2251511E-03
       1325.  1.2158616E-03
       1216.  3.2233416E-07
