    n     flux[photons/s/cm^2]     w-range[A]
      1  3.1535452E+03       1754.       1770.
      2  4.5617329E+03       1770.       1786.
      3  8.2384990E+03       1786.       1802.
      4  9.1013418E+03       1802.       1818.
      5  1.2915082E+04       1818.       1835.
      6  1.1852859E+04       1835.       1852.
      7  1.7555596E+04       1852.       1869.
      8  1.2625660E+04       1869.       1887.
      9  3.9545254E+04       1887.       1905.
     10  3.3447203E+04       1905.       1923.
     11  1.1808663E+05       1923.       1942.
     12  1.1816105E+05       1942.       1961.
     13  1.6248453E+05       1961.       1980.
     14  2.4780250E+05       1980.       2000.
     15  3.3584906E+05       2000.       2020.
     16  4.2649203E+05       2020.       2041.
     17  4.8656697E+05       2041.       2062.
     18  7.3747481E+05       2062.       2083.
     19  3.3324430E+06       2083.       2105.
     20  2.1668348E+06       2105.       2128.
     21  4.1807872E+06       2128.       2151.
     22  3.2603998E+06       2151.       2174.
     23  1.2676222E+07       2174.       2200.
     24  4.8583825E+06       2200.       2222.
     25  2.7569836E+07       2222.       2247.
     26  9.5010180E+06       2247.       2273.
     27  5.2280300E+07       2273.       2299.
     28  6.7530816E+07       2299.       2326.
     29  1.4342434E+08       2326.       2353.
     30  4.9664636E+07       2353.       2381.
     31  3.6037882E+08       2381.       2410.
     32  7.2057837E+08       2410.       2439.
     33  1.1415108E+09       2439.       2469.
     34  5.9619354E+08       2469.       2500.
     35  9.1491667E+08       2500.       2532.
     36  2.7155256E+09       2532.       2564.
     37  1.6207709E+09       2564.       2597.
     38  1.6692239E+10       2597.       2632.
     39  1.3699940E+10       2632.       2667.
     40  2.7146975E+10       2667.       2703.
     41  2.6894150E+10       2703.       2740.
     42  3.9864566E+10       2740.       2778.
     43  3.4163386E+10       2778.       2817.
     44  2.8763523E+10       2817.       2857.
     45  1.2363270E+11       2857.       2899.
     46  2.2778613E+11       2899.       2941.
     47  2.1671821E+11       2941.       2985.
     48  1.8699179E+11       2985.       3030.
     49  3.2090030E+11       3030.       3077.
     50  4.6612218E+11       3077.       3125.
     51  1.6399872E+12       3125.       3175.
     52  2.5179411E+12       3175.       3225.
     53  2.5764679E+12       3225.       3275.
     54  6.9822102E+12       3275.       3325.
     55  6.7341527E+12       3325.       3375.
     56  5.8354822E+12       3375.       3425.
     57  1.6328182E+12       3425.       3450.
     58  1.3918196E+13       3450.       3550.
     59  1.3808802E+13       3550.       3650.
     60  2.3784923E+13       3650.       3750.
     61  3.4838386E+13       3750.       3850.
     62  2.6298164E+13       3850.       3950.
     63  7.5873466E+13       3950.       4050.
     64  1.2043498E+14       4050.       4150.
     65  6.6600930E+13       4150.       4250.
     66  9.8027159E+13       4250.       4350.
     67  1.7317384E+14       4350.       4450.
     68  2.1511327E+14       4450.       4550.
     69  2.5466737E+14       4550.       4650.
     70  2.6905103E+14       4650.       4750.
     71  2.3554359E+14       4750.       4850.
     72  3.8260038E+14       4850.       4950.
     73  2.5129605E+14       4950.       5050.
     74  2.9450295E+14       5050.       5150.
     75  2.9778609E+14       5150.       5250.
     76  5.0067125E+14       5250.       5350.
     77  6.1985881E+14       5350.       5450.
     78  5.4054492E+14       5450.       5550.
     79  5.5166754E+14       5550.       5650.
     80  7.0489037E+14       5650.       5750.
     81  8.0875731E+14       5750.       5850.
     82  4.3949176E+14       5850.       5950.
     83  7.5680431E+14       5950.       6050.
     84  9.6280349E+14       6050.       6150.
     85  5.4324743E+14       6150.       6250.
     86  6.9546010E+14       6250.       6350.
     87  8.1748307E+14       6350.       6450.
     88  1.0153814E+15       6450.       6550.
     89  1.2051838E+15       6550.       6650.
     90  8.6618793E+14       6650.       6750.
     91  8.1230059E+14       6750.       6850.
     92  8.2464781E+14       6850.       6950.
     93  1.4020138E+15       6950.       7050.
     94  1.0138533E+15       7050.       7150.
     95  1.0818056E+15       7150.       7250.
     96  1.8828033E+15       7250.       7350.
     97  2.4329240E+15       7350.       7450.
     98  2.5992973E+15       7450.       7550.
     99  2.4093932E+15       7550.       7650.
    100  1.8808613E+15       7650.       7750.
    101  2.1233795E+15       7750.       7850.
    102  2.4076306E+15       7850.       7950.
    103  2.7493278E+15       7950.       8050.
    104  3.0324294E+15       8050.       8150.
    105  2.9664641E+15       8150.       8250.
    106  3.0536613E+15       8250.       8350.
    107  2.9345627E+15       8350.       8450.
    108  2.7884297E+15       8450.       8550.
