    n     flux[photons/s/cm^2]     w-range[A]
      1  2.4144333E+03       1754.       1770.
      2  3.4925769E+03       1770.       1786.
      3  6.3076011E+03       1786.       1802.
      4  6.9682148E+03       1802.       1818.
      5  9.8881104E+03       1818.       1835.
      6  9.0748467E+03       1835.       1852.
      7  1.3441003E+04       1852.       1869.
      8  9.6665215E+03       1869.       1887.
      9  3.0276836E+04       1887.       1905.
     10  2.5608016E+04       1905.       1923.
     11  9.0410086E+04       1923.       1942.
     12  9.0467055E+04       1942.       1961.
     13  1.2440223E+05       1961.       1980.
     14  1.8972381E+05       1980.       2000.
     15  2.5713447E+05       2000.       2020.
     16  3.2653297E+05       2020.       2041.
     17  3.7252784E+05       2041.       2062.
     18  5.6462919E+05       2062.       2083.
     19  2.5514020E+06       2083.       2105.
     20  1.6589829E+06       2105.       2128.
     21  3.2009155E+06       2128.       2151.
     22  2.4962438E+06       2151.       2174.
     23  9.7052330E+06       2174.       2200.
     24  3.7196995E+06       2200.       2222.
     25  2.1108156E+07       2222.       2247.
     26  7.2742175E+06       2247.       2273.
     27  4.0027108E+07       2273.       2299.
     28  5.1703280E+07       2299.       2326.
     29  1.0980926E+08       2326.       2353.
     30  3.8024492E+07       2353.       2381.
     31  2.7591507E+08       2381.       2410.
     32  5.5169286E+08       2410.       2439.
     33  8.7396922E+08       2439.       2469.
     34  4.5646070E+08       2469.       2500.
     35  7.0048314E+08       2500.       2532.
     36  2.0790743E+09       2532.       2564.
     37  1.2409028E+09       2564.       2597.
     38  1.2779996E+10       2597.       2632.
     39  1.0489017E+10       2632.       2667.
     40  2.0784402E+10       2667.       2703.
     41  2.0590834E+10       2703.       2740.
     42  3.0521311E+10       2740.       2778.
     43  2.6156345E+10       2778.       2817.
     44  2.2022074E+10       2817.       2857.
     45  9.4656291E+10       2857.       2899.
     46  1.7439877E+11       2899.       2941.
     47  1.6592490E+11       2941.       2985.
     48  1.4316560E+11       2985.       3030.
     49  2.4568932E+11       3030.       3077.
     50  3.5687481E+11       3077.       3125.
     51  1.2556152E+12       3125.       3175.
     52  1.9277986E+12       3175.       3225.
     53  1.9726083E+12       3225.       3275.
     54  5.3457553E+12       3275.       3325.
     55  5.1558361E+12       3325.       3375.
     56  4.4677915E+12       3375.       3425.
     57  1.2501265E+12       3425.       3450.
     58  1.0656119E+13       3450.       3550.
     59  1.0572365E+13       3550.       3650.
     60  1.8210332E+13       3650.       3750.
     61  2.6673139E+13       3750.       3850.
     62  2.0134532E+13       3850.       3950.
     63  5.8090628E+13       3950.       4050.
     64  9.2208032E+13       4050.       4150.
     65  5.0991341E+13       4150.       4250.
     66  7.5052045E+13       4250.       4350.
     67  1.3258623E+14       4350.       4450.
     68  1.6469611E+14       4450.       4550.
     69  1.9497970E+14       4550.       4650.
     70  2.0599220E+14       4650.       4750.
     71  1.8033808E+14       4750.       4850.
     72  2.9292841E+14       4850.       4950.
     73  1.9239855E+14       4950.       5050.
     74  2.2547882E+14       5050.       5150.
     75  2.2799248E+14       5150.       5250.
     76  3.8332644E+14       5250.       5350.
     77  4.7457942E+14       5350.       5450.
     78  4.1385473E+14       5450.       5550.
     79  4.2237047E+14       5550.       5650.
     80  5.3968170E+14       5650.       5750.
     81  6.1920483E+14       5750.       5850.
     82  3.3648589E+14       5850.       5950.
     83  5.7942833E+14       5950.       6050.
     84  7.3714644E+14       6050.       6150.
     85  4.1592383E+14       6150.       6250.
     86  5.3246166E+14       6250.       6350.
     87  6.2588552E+14       6350.       6450.
     88  7.7740143E+14       6450.       6550.
     89  9.2271890E+14       6550.       6650.
     90  6.6317516E+14       6650.       6750.
     91  6.2191764E+14       6750.       6850.
     92  6.3137100E+14       6850.       6950.
     93  1.0734169E+15       6950.       7050.
     94  7.7623145E+14       7050.       7150.
     95  8.2825740E+14       7150.       7250.
     96  1.4415215E+15       7250.       7350.
     97  1.8627076E+15       7350.       7450.
     98  1.9900871E+15       7450.       7550.
     99  1.8446917E+15       7550.       7650.
    100  1.4400346E+15       7650.       7750.
    101  1.6257125E+15       7750.       7850.
    102  1.8433424E+15       7850.       7950.
    103  2.1049542E+15       7950.       8050.
    104  2.3217039E+15       8050.       8150.
    105  2.2711991E+15       8150.       8250.
    106  2.3379595E+15       8250.       8350.
    107  2.2467747E+15       8350.       8450.
    108  2.1348916E+15       8450.       8550.
