    n        flux[ergs/s/cm^2]     w-range[A]
      1  4.8583231E-04       2000.       2020.
      2  5.9514656E-04       2020.       2041.
      3  7.2281022E-04       2041.       2062.
      4  8.7270897E-04       2062.       2083.
      5  1.6747928E-03       2083.       2105.
      6  1.5589942E-03       2105.       2128.
      7  2.2976943E-03       2128.       2151.
      8  2.1815489E-03       2151.       2174.
      9  4.0619657E-03       2174.       2200.
     10  3.2362686E-03       2200.       2222.
     11  7.2430605E-03       2222.       2247.
     12  5.1135197E-03       2247.       2273.
     13  9.4743595E-03       2273.       2299.
     14  1.4263919E-02       2299.       2326.
     15  2.0790081E-02       2326.       2353.
     16  1.5220453E-02       2353.       2381.
 
      1  3.4532328E+00       2376.       2750.
      2  3.0799909E+00       2750.       2850.
      3  2.2733976E+01       2850.       3071.
      4  3.9192303E+01       3071.       3200.
      5  6.9508842E+01       3200.       3292.
      6  1.5859618E+02       3292.       3412.
      7  1.0711902E+03       3412.       3900.
      8  5.2197627E+03       3900.       4500.
      9  1.7376064E+04       4500.       5400.
     10  2.5674021E+03       5400.       5495.
     11  4.8765410E+03       5495.       5666.
     12  1.2743521E+04       5666.       6050.
     13  6.6137544E+03       6050.       6250.
     14  1.5339657E+04       6250.       6667.
     15  8.2431523E+03       6667.       6910.
     16  2.8331266E+04       6910.       7520.
     17  1.7341830E+04       7520.       7840.
     18  3.3845973E+04       7840.       8420.
     19  2.7633480E+04       8420.       8910.
     20  3.9845645E+04       8910.       9620.
     21  3.9339375E+04       9620.       10360.
     22  1.7669377E+04       10360.       10700.
     23  2.9843736E+04       10700.       11300.
     24  3.3597754E+04       11300.       12030.
     25  4.4078910E+04       12030.       13070.
     26  4.4767180E+04       13070.       14310.
     27  4.1041676E+04       14310.       15650.
     28  3.4599902E+04       15650.       16880.
     29  3.8056836E+04       16880.       18620.
     30  2.5169211E+04       18620.       20200.
     31  2.3814441E+04       20200.       22030.
     32  2.6443750E+04       22030.       24810.
     33  1.0389588E+04       24810.       26600.
     34  1.1972534E+04       26600.       29200.
     35  1.0370028E+04       29200.       32390.
     36  8.6728535E+03       32390.       35770.
     37  8.4104717E+03       35770.       40100.
     38  2.3858945E+03       40100.       41720.
