
!Atmospheric profiles.  The three columns are:
!geometric altitude (km),temperature (K),pressure (millibars)
!        alt(km)  T(K)   P(mbar)
Z,T,P     0.00  301.343 0.10383E+04
Z,T,P     0.47  299.607 0.98495E+03
Z,T,P     1.39  296.099 0.88626E+03
Z,T,P     2.30  292.546 0.79747E+03
Z,T,P     3.20  288.950 0.71757E+03
Z,T,P     4.08  285.266 0.64567E+03
Z,T,P     4.96  281.476 0.58098E+03
Z,T,P     5.82  277.576 0.52277E+03
Z,T,P     6.67  273.549 0.47039E+03
Z,T,P     7.50  269.764 0.42326E+03
Z,T,P     8.33  265.773 0.38085E+03
Z,T,P     9.14  261.484 0.34269E+03
Z,T,P     9.93  256.844 0.30836E+03
Z,T,P    10.71  251.807 0.27746E+03
Z,T,P    11.48  247.173 0.24966E+03
Z,T,P    12.24  244.283 0.22465E+03
Z,T,P    12.98  242.373 0.20214E+03
Z,T,P    13.73  240.513 0.18189E+03
Z,T,P    14.46  238.842 0.16366E+03
Z,T,P    15.19  237.527 0.14727E+03
Z,T,P    15.92  236.458 0.13251E+03
Z,T,P    16.65  235.483 0.11923E+03
Z,T,P    17.37  234.451 0.10729E+03
Z,T,P    18.09  233.235 0.96538E+02
Z,T,P    18.80  231.953 0.86866E+02
Z,T,P    19.51  230.929 0.78162E+02
Z,T,P    20.22  230.150 0.70331E+02
Z,T,P    20.93  229.458 0.63284E+02
Z,T,P    21.63  228.889 0.56944E+02
Z,T,P    22.33  228.468 0.51238E+02
Z,T,P    23.03  228.183 0.46105E+02
Z,T,P    23.73  228.007 0.41485E+02
Z,T,P    24.43  227.918 0.37329E+02
Z,T,P    25.13  227.897 0.33589E+02
Z,T,P    25.83  227.919 0.30223E+02
Z,T,P    26.54  227.971 0.27195E+02
Z,T,P    27.24  228.072 0.24470E+02
Z,T,P    27.94  228.212 0.22019E+02
Z,T,P    28.64  228.316 0.19812E+02
Z,T,P    29.34  228.343 0.17827E+02
Z,T,P    30.04  228.302 0.16041E+02
Z,T,P    30.74  228.196 0.14434E+02
Z,T,P    31.44  228.023 0.12988E+02
Z,T,P    32.14  227.797 0.11687E+02
Z,T,P    32.84  227.574 0.10516E+02
Z,T,P    33.54  227.409 0.94620E+01
Z,T,P    34.24  227.280 0.85140E+01
Z,T,P    34.94  227.111 0.76609E+01
Z,T,P    35.63  226.872 0.68934E+01
Z,T,P    36.33  226.579 0.62027E+01
Z,T,P    37.03  226.244 0.55812E+01
Z,T,P    37.72  225.874 0.50220E+01
Z,T,P    38.41  225.488 0.45189E+01
Z,T,P    39.11  225.106 0.40661E+01
Z,T,P    39.80  224.743 0.36587E+01
Z,T,P    40.49  224.419 0.32921E+01
Z,T,P    41.18  224.148 0.29623E+01
Z,T,P    41.87  223.916 0.26655E+01
Z,T,P    42.55  223.699 0.23984E+01
Z,T,P    43.24  223.480 0.21581E+01
Z,T,P    43.93  223.253 0.19419E+01
Z,T,P    44.61  222.997 0.17473E+01
Z,T,P    45.30  222.702 0.15723E+01
Z,T,P    45.98  222.380 0.14147E+01
Z,T,P    46.66  222.055 0.12730E+01
Z,T,P    47.34  221.748 0.11454E+01
Z,T,P    48.03  221.477 0.10307E+01
Z,T,P    48.71  221.272 0.92740E+00
Z,T,P    49.39  221.080 0.83448E+00
Z,T,P    50.06  220.817 0.75087E+00
Z,T,P    50.74  220.471 0.67564E+00
Z,T,P    51.42  220.059 0.60795E+00
Z,T,P    52.09  219.570 0.54704E+00
Z,T,P    52.77  218.984 0.49223E+00
Z,T,P    53.44  218.329 0.44291E+00
Z,T,P    54.11  217.628 0.39853E+00
Z,T,P    54.78  216.880 0.35860E+00
Z,T,P    55.44  216.071 0.32267E+00
Z,T,P    56.10  215.175 0.29034E+00
Z,T,P    56.76  214.156 0.26125E+00
Z,T,P    57.42  212.992 0.23508E+00
Z,T,P    58.07  211.677 0.21152E+00
Z,T,P    58.72  210.248 0.19033E+00
Z,T,P    59.36  208.743 0.17126E+00
Z,T,P    60.00  207.177 0.15410E+00
Z,T,P    60.64  205.612 0.13866E+00
Z,T,P    61.27  204.112 0.12477E+00
Z,T,P    61.89  202.764 0.11227E+00
Z,T,P    62.51  201.615 0.10102E+00
Z,T,P    63.13  200.534 0.90898E-01
Z,T,P    63.75  199.404 0.81790E-01
Z,T,P    64.36  198.113 0.73596E-01
Z,T,P    64.96  196.332 0.66222E-01
Z,T,P    65.56  193.524 0.59587E-01
Z,T,P    66.15  189.300 0.53617E-01
Z,T,P    66.72  185.260 0.48245E-01
Z,T,P    67.29  183.495 0.43411E-01
Z,T,P    67.85  182.701 0.39061E-01
Z,T,P    68.41  180.253 0.35148E-01
Z,T,P    68.96  175.695 0.31626E-01
