COMPLETE SPECTRUM OF HD22049.
Uncertainties below are 1sigma from the IUE rereductions,
and are adopted as 5% of F(lambda) for Burnashev and Kurucz
spectra.  Apologies if these are not your favorite units
but last go around I was asked to use W/cm2/nm instead of
my preferred W/cm2/um.  1 W/m2/nm = 100 erg/cm2/s/A.

Wavelen  F(lambda)  UncF(lam)
  um     W/m2/nm    W/m2/nm
0.14154  1.26e-016  7.17e-018
0.14171  1.05e-016  7.08e-018
0.14188  7.82e-017  6.79e-018
0.14205  8.83e-017  6.87e-018
0.14221  1.14e-016  7.18e-018
0.14238  1.12e-016  7.25e-018
0.14255  1.11e-016  7.28e-018
0.14272  1.33e-016  7.44e-018
0.14288  1.50e-016  7.50e-018
0.14305  1.24e-016  7.43e-018
0.14322  1.13e-016  7.42e-018
0.14339  1.13e-016  7.70e-018
0.14356  1.16e-016  7.66e-018
0.14372  1.42e-016  8.15e-018
0.14389  1.42e-016  8.02e-018
0.14406  1.36e-016  7.81e-018
0.14423  1.56e-016  7.51e-018
0.14439  1.39e-016  7.34e-018
0.14456  1.30e-016  7.34e-018
0.14473  1.10e-016  7.32e-018
0.14490  1.57e-016  7.80e-018
0.14506  1.48e-016  7.84e-018
0.14523  1.46e-016  7.66e-018
0.14540  1.36e-016  7.63e-018
0.14557  1.23e-016  7.44e-018
0.14573  1.44e-016  7.70e-018
0.14590  1.41e-016  7.90e-018
0.14607  1.40e-016  7.70e-018
0.14624  1.70e-016  7.78e-018
0.14641  1.60e-016  7.71e-018
0.14657  1.67e-016  7.66e-018
0.14674  1.58e-016  7.67e-018
0.14691  1.53e-016  7.89e-018
0.14708  1.96e-016  7.92e-018
0.14724  2.12e-016  8.08e-018
0.14741  2.08e-016  7.93e-018
0.14758  1.94e-016  8.04e-018
0.14775  1.89e-016  8.35e-018
0.14791  2.11e-016  8.08e-018
0.14808  2.22e-016  8.15e-018
0.14825  1.95e-016  8.06e-018
0.14842  1.73e-016  7.93e-018
0.14858  1.65e-016  7.61e-018
0.14875  1.68e-016  7.73e-018
0.14892  1.75e-016  7.76e-018
0.14909  1.59e-016  7.81e-018
0.14926  1.41e-016  7.69e-018
0.14942  1.44e-016  7.74e-018
0.14959  1.69e-016  7.85e-018
0.14976  1.49e-016  7.88e-018
0.14993  1.53e-016  7.78e-018
0.15009  1.64e-016  7.90e-018
0.15026  1.82e-016  8.31e-018
0.15043  1.74e-016  7.88e-018
0.15060  2.00e-016  8.01e-018
0.15076  1.95e-016  7.98e-018
0.15093  1.88e-016  7.98e-018
0.15110  2.14e-016  7.99e-018
0.15127  2.15e-016  8.06e-018
0.15143  1.84e-016  7.84e-018
0.15160  1.96e-016  8.03e-018
0.15177  1.85e-016  8.13e-018
0.15194  2.04e-016  8.39e-018
0.15211  2.04e-016  8.33e-018
0.15227  2.06e-016  8.11e-018
0.15244  2.63e-016  8.57e-018
0.15261  2.61e-016  8.69e-018
0.15278  2.52e-016  8.47e-018
0.15294  2.55e-016  8.45e-018
0.15311  2.80e-016  8.65e-018
0.15328  2.98e-016  8.91e-018
0.15345  2.88e-016  9.04e-018
0.15361  2.61e-016  8.77e-018
0.15378  2.25e-016  8.24e-018
0.15395  2.19e-016  8.41e-018
0.15412  2.58e-016  8.44e-018
0.15428  3.68e-016  9.11e-018
0.15445  5.71e-016  1.05e-017
0.15462  9.52e-016  1.31e-017
0.15479  1.39e-015  1.48e-017
0.15495  1.47e-015  1.62e-017
0.15512  1.02e-015  1.38e-017
0.15529  5.98e-016  1.11e-017
0.15546  3.45e-016  9.15e-018
0.15563  2.94e-016  8.75e-018
0.15579  3.64e-016  8.93e-018
0.15596  4.53e-016  9.24e-018
0.15613  5.06e-016  9.67e-018
0.15630  4.06e-016  9.33e-018
0.15646  2.73e-016  8.49e-018
0.15663  1.86e-016  7.61e-018
0.15680  2.13e-016  7.88e-018
0.15697  2.21e-016  8.27e-018
0.15713  2.22e-016  8.07e-018
0.15730  2.56e-016  8.30e-018
0.15747  2.57e-016  8.08e-018
0.15764  2.37e-016  8.11e-018
0.15780  1.95e-016  7.88e-018
0.15797  1.46e-016  7.67e-018
0.15814  1.64e-016  7.75e-018
0.15831  1.90e-016  7.95e-018
0.15847  2.02e-016  7.75e-018
0.15864  2.05e-016  7.51e-018
0.15881  1.98e-016  7.41e-018
0.15898  1.99e-016  7.36e-018
0.15915  2.12e-016  7.53e-018
0.15931  2.33e-016  7.66e-018
0.15948  2.09e-016  7.64e-018
0.15965  2.20e-016  7.73e-018
0.15982  2.26e-016  7.89e-018
0.15998  2.09e-016  7.45e-018
0.16015  1.77e-016  7.46e-018
0.16032  1.98e-016  7.53e-018
0.16049  2.03e-016  7.42e-018
0.16065  1.97e-016  7.16e-018
0.16082  1.96e-016  7.09e-018
0.16099  2.13e-016  7.44e-018
0.16116  2.08e-016  7.32e-018
0.16132  1.95e-016  7.16e-018
0.16149  1.86e-016  7.08e-018
0.16166  1.49e-016  6.87e-018
0.16183  1.44e-016  6.97e-018
0.16199  1.52e-016  6.86e-018
0.16216  1.83e-016  7.19e-018
0.16233  2.11e-016  7.47e-018
0.16250  1.76e-016  6.80e-018
0.16267  1.90e-016  6.73e-018
0.16283  2.03e-016  6.93e-018
0.16300  2.52e-016  7.38e-018
0.16317  2.76e-016  7.62e-018
0.16334  3.28e-016  7.88e-018
0.16350  3.94e-016  8.25e-018
0.16367  5.92e-016  9.00e-018
0.16384  9.39e-016  1.10e-017
0.16401  1.29e-015  1.20e-017
0.16417  1.09e-015  1.15e-017
0.16434  6.62e-016  9.18e-018
0.16451  3.91e-016  7.55e-018
0.16468  2.69e-016  6.85e-018
0.16484  2.38e-016  6.68e-018
0.16501  2.31e-016  6.65e-018
0.16518  3.26e-016  7.12e-018
0.16535  5.26e-016  8.10e-018
0.16552  8.35e-016  9.37e-018
0.16568  1.12e-015  1.08e-017
0.16585  9.88e-016  1.01e-017
0.16602  6.57e-016  8.57e-018
0.16619  4.32e-016  7.47e-018
0.16635  3.43e-016  7.10e-018
0.16652  3.46e-016  7.17e-018
0.16669  3.48e-016  7.11e-018
0.16686  4.17e-016  7.17e-018
0.16702  5.01e-016  7.55e-018
0.16719  4.67e-016  7.70e-018
0.16736  3.73e-016  6.94e-018
0.16753  2.67e-016  6.33e-018
0.16769  2.02e-016  6.01e-018
0.16786  1.87e-016  5.92e-018
0.16803  1.74e-016  5.64e-018
0.16820  1.69e-016  5.56e-018
0.16837  1.91e-016  5.68e-018
0.16853  2.15e-016  5.75e-018
0.16870  2.13e-016  5.65e-018
0.16887  2.26e-016  5.71e-018
0.16904  2.28e-016  5.71e-018
0.16920  2.39e-016  5.67e-018
0.16937  2.83e-016  5.90e-018
