COMPLETE SPECTRUM OF HD22049.
Uncertainties below are 1sigma from the IUE rereductions,
and are adopted as 5% of F(lambda) for Burnashev and Kurucz
spectra.  Apologies if these are not your favorite units
but last go around I was asked to use W/cm2/nm instead of
my preferred W/cm2/um.  1 W/m2/nm = 100 erg/cm2/s/A.

Wavelen  F(lambda)  UncF(lam)
  um     W/m2/nm    W/m2/nm
0.24900  7.18e-015  1.43e-016
0.24930  8.25e-015  1.57e-016
0.24950  8.43e-015  1.65e-016
0.24980  9.13e-015  1.70e-016
0.25010  9.30e-015  1.51e-016
0.25030  9.68e-015  1.67e-016
0.25060  9.69e-015  1.77e-016
0.25090  1.00e-014  1.62e-016
0.25120  9.67e-015  1.58e-016
0.25140  8.70e-015  1.46e-016
0.25170  7.97e-015  1.37e-016
0.25190  7.36e-015  1.30e-016
0.25220  7.79e-015  1.35e-016
0.25250  7.80e-015  1.37e-016
0.25280  8.19e-015  1.52e-016
0.25300  8.72e-015  1.44e-016
0.25330  9.26e-015  1.40e-016
0.25350  1.03e-014  1.54e-016
0.25380  1.14e-014  1.64e-016
0.25410  1.17e-014  1.64e-016
0.25440  1.17e-014  1.62e-016
0.25460  1.15e-014  1.78e-016
0.25490  1.19e-014  2.01e-016
0.25510  1.25e-014  1.93e-016
0.25540  1.37e-014  2.05e-016
0.25570  1.46e-014  1.93e-016
0.25590  1.49e-014  1.84e-016
0.25604  1.50e-014  2.59e-016
0.25631  1.56e-014  2.85e-016
0.25657  1.56e-014  2.67e-016
0.25684  1.66e-014  3.00e-016
0.25710  1.75e-014  3.11e-016
0.25737  1.80e-014  2.96e-016
0.25764  1.82e-014  2.88e-016
0.25790  1.79e-014  2.83e-016
0.25817  2.09e-014  3.73e-016
0.25844  2.08e-014  3.36e-016
0.25870  2.08e-014  3.20e-016
0.25897  2.12e-014  3.26e-016
0.25924  2.13e-014  3.33e-016
0.25950  2.02e-014  3.06e-016
0.25977  2.10e-014  3.60e-016
0.26004  2.14e-014  3.18e-016
0.26030  2.16e-014  3.28e-016
0.26057  2.02e-014  2.91e-016
0.26084  2.09e-014  2.91e-016
0.26110  2.12e-014  3.03e-016
0.26137  2.07e-014  2.96e-016
0.26164  2.36e-014  3.08e-016
0.26190  2.44e-014  3.43e-016
0.26217  2.50e-014  3.75e-016
0.26244  2.71e-014  3.87e-016
0.26270  2.80e-014  4.04e-016
0.26297  2.90e-014  3.99e-016
0.26324  2.69e-014  3.54e-016
0.26350  3.02e-014  4.12e-016
0.26377  3.47e-014  4.65e-016
0.26404  3.81e-014  5.30e-016
0.26430  3.94e-014  5.09e-016
0.26457  3.70e-014  4.61e-016
0.26484  3.32e-014  4.14e-016
0.26510  3.31e-014  4.28e-016
0.26537  3.74e-014  4.56e-016
0.26564  4.05e-014  5.18e-016
0.26590  4.03e-014  4.77e-016
0.26617  3.76e-014  4.74e-016
0.26643  3.80e-014  4.95e-016
0.26670  4.12e-014  4.84e-016
0.26697  3.89e-014  4.79e-016
0.26723  3.86e-014  4.72e-016
0.26750  4.06e-014  5.40e-016
0.26777  4.00e-014  4.77e-016
0.26803  3.64e-014  4.71e-016
0.26830  3.95e-014  4.42e-016
0.26857  3.96e-014  4.71e-016
0.26883  3.82e-014  5.05e-016
0.26910  3.82e-014  4.40e-016
0.26937  3.91e-014  4.71e-016
0.26963  3.81e-014  4.19e-016
0.26990  4.04e-014  4.49e-016
0.27017  4.30e-014  4.81e-016
0.27043  4.48e-014  4.98e-016
0.27070  4.31e-014  4.64e-016
0.27097  4.17e-014  4.84e-016
0.27123  4.18e-014  5.17e-016
0.27150  4.05e-014  4.65e-016
0.27177  3.16e-014  3.92e-016
0.27203  2.44e-014  3.10e-016
0.27230  2.46e-014  3.11e-016
0.27257  2.91e-014  3.44e-016
0.27283  3.70e-014  4.00e-016
0.27310  4.24e-014  4.82e-016
0.27336  3.96e-014  4.49e-016
0.27363  3.29e-014  3.75e-016
0.27390  3.02e-014  3.41e-016
0.27416  3.01e-014  3.35e-016
0.27443  2.91e-014  3.35e-016
0.27470  3.06e-014  3.47e-016
0.27496  3.31e-014  3.69e-016
0.27523  3.37e-014  3.72e-016
0.27550  3.66e-014  3.91e-016
0.27576  3.87e-014  4.46e-016
0.27603  4.42e-014  4.94e-016
0.27630  4.72e-014  5.03e-016
0.27656  4.67e-014  5.18e-016
0.27683  4.83e-014  5.37e-016
0.27710  4.78e-014  5.40e-016
0.27736  4.83e-014  5.79e-016
0.27763  4.80e-014  5.52e-016
0.27790  4.64e-014  4.84e-016
0.27816  3.93e-014  4.54e-016
0.27843  3.94e-014  4.10e-016
0.27870  4.06e-014  4.43e-016
0.27896  3.95e-014  4.05e-016
0.27923  3.89e-014  4.10e-016
0.27950  4.87e-014  5.86e-016
0.27976  6.75e-014  6.80e-016
0.28003  5.86e-014  6.83e-016
0.28030  5.49e-014  6.04e-016
0.28056  5.84e-014  6.17e-016
0.28083  4.79e-014  5.24e-016
0.28110  4.10e-014  4.55e-016
0.28136  4.38e-014  4.74e-016
0.28163  4.80e-014  5.29e-016
0.28190  5.33e-014  5.42e-016
0.28216  5.39e-014  5.77e-016
0.28243  5.63e-014  5.84e-016
0.28269  5.73e-014  5.95e-016
0.28296  5.87e-014  5.88e-016
0.28323  6.00e-014  5.93e-016
0.28349  5.79e-014  5.64e-016
0.28376  5.50e-014  5.43e-016
0.28403  5.21e-014  5.41e-016
0.28429  4.73e-014  5.07e-016
0.28456  3.99e-014  4.50e-016
0.28483  3.20e-014  3.50e-016
0.28509  2.32e-014  2.80e-016
0.28536  1.89e-014  2.49e-016
0.28563  2.12e-014  2.52e-016
0.28589  2.89e-014  2.99e-016
0.28616  3.63e-014  4.01e-016
0.28643  4.38e-014  4.51e-016
0.28669  4.85e-014  4.94e-016
0.28696  5.29e-014  5.25e-016
0.28723  5.71e-014  5.56e-016
0.28749  6.23e-014  6.01e-016
0.28776  6.11e-014  5.76e-016
0.28803  5.67e-014  5.58e-016
0.28829  5.26e-014  5.29e-016
0.28856  5.93e-014  5.66e-016
0.28883  7.47e-014  6.65e-016
0.28909  8.34e-014  7.16e-016
0.28936  9.09e-014  7.61e-016
0.28963  1.03e-013  8.05e-016
0.28989  1.15e-013  9.37e-016
0.29016  1.30e-013  1.04e-015
0.29043  1.40e-013  1.15e-015
0.29069  1.36e-013  1.15e-015
0.29096  1.36e-013  1.07e-015
0.29123  1.33e-013  1.05e-015
0.29149  1.32e-013  1.05e-015
0.29176  1.38e-013  1.03e-015
0.29202  1.39e-013  1.06e-015
0.29229  1.34e-013  1.07e-015
0.29256  1.27e-013  1.04e-015
0.29282  1.27e-013  1.02e-015
0.29309  1.31e-013  1.01e-015
0.29336  1.41e-013  1.07e-015
0.29362  1.26e-013  9.70e-016
0.29389  1.04e-013  8.19e-016
0.29416  1.05e-013  8.05e-016
0.29442  1.05e-013  8.05e-016
0.29469  1.08e-013  9.02e-016
0.29496  1.05e-013  8.17e-016
0.29522  1.07e-013  8.29e-016
0.29549  1.11e-013  8.41e-016
0.29576  1.10e-013  8.43e-016
0.29602  1.16e-013  8.92e-016
0.29629  1.19e-013  8.83e-016
0.29656  1.01e-013  7.95e-016
0.29682  7.64e-014  6.79e-016
0.29709  7.08e-014  6.51e-016
0.29736  8.19e-014  7.26e-016
0.29762  1.07e-013  8.06e-016
0.29789  1.26e-013  8.92e-016
0.29816  1.09e-013  8.92e-016
0.29842  8.46e-014  7.17e-016
0.29869  8.11e-014  6.87e-016
0.29896  9.88e-014  7.71e-016
0.29922  1.07e-013  8.31e-016
0.29949  9.90e-014  8.51e-016
0.29976  8.73e-014  7.60e-016
0.30002  7.79e-014  7.03e-016
0.30029  7.30e-014  6.61e-016
0.30056  7.65e-014  6.97e-016
0.30082  8.11e-014  7.03e-016
0.30109  8.53e-014  7.62e-016
0.30136  9.23e-014  7.63e-016
0.30162  9.12e-014  8.05e-016
0.30189  7.50e-014  7.03e-016
0.30215  6.44e-014  6.30e-016
0.30242  7.17e-014  6.98e-016
0.30269  9.46e-014  8.73e-016
0.30296  1.21e-013  9.18e-016
0.30322  1.42e-013  1.16e-015
0.30349  1.48e-013  1.03e-015
0.30375  1.39e-013  1.02e-015
0.30402  1.22e-013  9.67e-016
0.30429  1.19e-013  9.18e-016
0.30455  1.27e-013  9.49e-016
0.30482  1.25e-013  9.47e-016
0.30509  1.24e-013  9.98e-016
0.30535  1.24e-013  1.32e-015
0.30562  1.26e-013  1.76e-015
0.30589  1.15e-013  1.48e-015
0.30615  1.12e-013  1.32e-015
0.30642  1.29e-013  1.13e-015
0.30669  1.39e-013  1.08e-015
0.30695  1.45e-013  1.10e-015
0.30722  1.61e-013  1.14e-015
0.30749  1.68e-013  1.22e-015
0.30775  1.69e-013  1.23e-015
0.30802  1.69e-013  1.22e-015
0.30829  1.63e-013  1.20e-015
0.30855  1.61e-013  1.21e-015
0.30882  1.63e-013  1.22e-015
0.30909  1.50e-013  1.19e-015
0.30935  1.28e-013  1.10e-015
0.30962  1.20e-013  1.07e-015
0.30989  1.22e-013  1.10e-015
0.31015  1.26e-013  1.12e-015
0.31042  1.56e-013  1.25e-015
0.31069  2.03e-013  1.42e-015
0.31095  2.35e-013  1.60e-015
0.31122  2.47e-013  1.64e-015
0.31148  2.44e-013  1.61e-015
0.31175  2.25e-013  1.57e-015
0.31202  2.03e-013  1.51e-015
0.31229  1.96e-013  1.46e-015
0.31255  1.96e-013  1.46e-015
0.31282  1.99e-013  1.49e-015
0.31308  2.04e-013  1.54e-015
0.31335  2.07e-013  1.56e-015
0.31362  2.09e-013  1.54e-015
0.31388  2.11e-013  1.53e-015
0.31415  2.12e-013  1.59e-015
0.31442  2.00e-013  1.57e-015
0.31468  1.96e-013  1.56e-015
0.31495  2.03e-013  1.62e-015
0.31522  2.00e-013  1.65e-015
0.31548  1.96e-013  1.67e-015
0.31575  1.78e-013  1.57e-015
0.31602  1.56e-013  1.41e-015
0.31628  1.46e-013  1.29e-015
0.31655  1.66e-013  1.45e-015
0.31682  2.02e-013  1.70e-015
0.31708  2.24e-013  1.82e-015
0.31735  2.39e-013  1.87e-015
0.31762  2.40e-013  1.94e-015
0.31788  2.27e-013  1.85e-015
0.31815  1.99e-013  1.54e-015
0.31842  1.78e-013  1.30e-015
0.31868  1.80e-013  1.32e-015
0.31895  1.87e-013  1.41e-015
0.31922  1.91e-013  1.40e-015
0.31948  1.77e-013  1.32e-015
0.31975  1.81e-013  1.35e-015
0.32002  1.99e-013  1.49e-015
0.32028  1.94e-013  1.56e-015
0.32055  2.06e-013  1.55e-015
0.32081  2.33e-013  1.83e-015
0.32108  2.13e-013  1.57e-015
0.32135  1.76e-013  1.34e-015
0.32161  1.65e-013  1.30e-015
0.32188  1.74e-013  1.36e-015
0.32215  1.85e-013  1.42e-015
0.32241  1.84e-013  1.44e-015
0.32268  1.69e-013  1.35e-015
0.32295  1.59e-013  1.30e-015
0.32321  1.50e-013  1.25e-015
0.32348  1.57e-013  1.29e-015
0.32375  1.67e-013  1.35e-015
0.32401  1.78e-013  1.41e-015
0.32428  1.97e-013  1.52e-015
0.32455  2.01e-013  1.53e-015
0.32481  2.05e-013  1.62e-015
0.32508  2.07e-013  1.53e-015
0.32535  2.06e-013  1.44e-015
0.32561  2.24e-013  1.74e-015
0.32588  2.48e-013  1.95e-015
0.32615  2.70e-013  2.20e-015
0.32641  2.93e-013  2.27e-015
0.32668  2.92e-013  2.27e-015
0.32695  2.89e-013  2.27e-015
0.32721  2.72e-013  2.06e-015
0.32748  2.71e-013  1.92e-015
0.32775  2.99e-013  2.09e-015
0.32801  2.96e-013  2.08e-015
0.32828  2.78e-013  1.98e-015
0.32855  2.81e-013  1.91e-015
0.32881  2.83e-013  1.91e-015
0.32908  2.80e-013  1.99e-015
0.32935  2.91e-013  1.91e-015
0.32961  3.16e-013  2.20e-015
0.32988  3.24e-013  2.07e-015
0.33015  3.31e-013  2.25e-015
0.33041  3.51e-013  2.43e-015
0.33068  3.39e-013  2.16e-015
0.33094  3.08e-013  2.00e-015
0.33121  2.75e-013  1.81e-015
0.33148  2.72e-013  1.94e-015
0.33174  2.89e-013  1.92e-015
0.33201  2.98e-013  1.97e-015
0.33228  3.34e-013  2.16e-015
0.33254  3.35e-013  2.18e-015
0.33281  3.17e-013  2.14e-015
0.33308  3.17e-013  2.07e-015
0.33334  3.23e-013  2.31e-015
0.33361  3.04e-013  2.24e-015
0.33388  2.82e-013  2.01e-015
0.33414  2.91e-013  2.04e-015
0.33441  2.95e-013  2.07e-015
0.33468  3.15e-013  2.15e-015
0.33494  3.36e-013  2.39e-015
0.33500  3.61e-013  1.81e-014
0.33750  3.44e-013  1.72e-014
0.34000  3.49e-013  1.74e-014
0.34250  3.53e-013  1.76e-014
0.34500  3.39e-013  1.69e-014
0.34750  3.52e-013  1.76e-014
0.35000  3.80e-013  1.90e-014
0.35250  4.00e-013  2.00e-014
0.35500  4.04e-013  2.02e-014
0.35750  3.52e-013  1.76e-014
0.36000  3.39e-013  1.69e-014
0.36250  3.85e-013  1.92e-014
0.36500  4.65e-013  2.33e-014
0.36750  5.23e-013  2.61e-014
0.37000  4.89e-013  2.44e-014
0.37250  3.99e-013  1.99e-014
0.37500  3.60e-013  1.80e-014
0.37750  4.19e-013  2.10e-014
0.38000  4.17e-013  2.09e-014
0.38250  3.28e-013  1.64e-014
0.38500  3.06e-013  1.53e-014
0.38750  3.55e-013  1.78e-014
0.39000  4.06e-013  2.03e-014
0.39250  3.86e-013  1.93e-014
0.39500  3.85e-013  1.92e-014
0.39750  4.80e-013  2.40e-014
0.40000  6.50e-013  3.25e-014
0.40250  7.53e-013  3.76e-014
0.40500  7.62e-013  3.81e-014
0.40750  8.10e-013  4.05e-014
0.41000  8.65e-013  4.33e-014
0.41250  8.61e-013  4.30e-014
0.41500  8.56e-013  4.28e-014
0.41750  8.53e-013  4.27e-014
0.42000  8.45e-013  4.22e-014
0.42250  8.32e-013  4.16e-014
0.42500  8.23e-013  4.12e-014
0.42750  7.96e-013  3.98e-014
0.43000  7.97e-013  3.98e-014
0.43250  8.78e-013  4.39e-014
0.43500  9.59e-013  4.80e-014
0.43750  9.59e-013  4.80e-014
0.44000  9.62e-013  4.81e-014
0.44250  1.01e-012  5.07e-014
0.44500  1.07e-012  5.35e-014
0.44750  1.13e-012  5.67e-014
0.45000  1.19e-012  5.94e-014
0.45250  1.19e-012  5.94e-014
0.45500  1.19e-012  5.94e-014
0.45750  1.22e-012  6.10e-014
0.46000  1.24e-012  6.20e-014
0.46250  1.24e-012  6.20e-014
0.46500  1.24e-012  6.20e-014
0.46750  1.23e-012  6.15e-014
0.47000  1.25e-012  6.26e-014
0.47250  1.26e-012  6.31e-014
0.47500  1.27e-012  6.36e-014
0.47750  1.28e-012  6.42e-014
0.48000  1.28e-012  6.42e-014
0.48250  1.28e-012  6.42e-014
0.48500  1.23e-012  6.15e-014
0.48750  1.20e-012  5.99e-014
0.49000  1.21e-012  6.04e-014
0.49250  1.21e-012  6.04e-014
0.49500  1.22e-012  6.10e-014
0.49750  1.21e-012  6.04e-014
0.50000  1.19e-012  5.94e-014
0.50250  1.19e-012  5.94e-014
0.50500  1.19e-012  5.94e-014
0.50750  1.20e-012  5.99e-014
0.51000  1.18e-012  5.88e-014
0.51250  1.13e-012  5.67e-014
0.51500  1.07e-012  5.35e-014
0.51750  1.03e-012  5.15e-014
0.52000  1.07e-012  5.35e-014
0.52250  1.17e-012  5.83e-014
0.52500  1.20e-012  5.99e-014
0.52750  1.22e-012  6.10e-014
0.53000  1.25e-012  6.26e-014
0.53250  1.25e-012  6.26e-014
0.53500  1.26e-012  6.31e-014
0.53750  1.26e-012  6.31e-014
0.54000  1.24e-012  6.20e-014
0.54250  1.24e-012  6.20e-014
0.54500  1.27e-012  6.36e-014
0.54750  1.28e-012  6.42e-014
0.55000  1.30e-012  6.52e-014
0.55250  1.30e-012  6.52e-014
0.55500  1.29e-012  6.47e-014
0.55750  1.28e-012  6.42e-014
0.56000  1.27e-012  6.36e-014
0.56250  1.28e-012  6.42e-014
0.56500  1.29e-012  6.47e-014
0.56750  1.29e-012  6.47e-014
0.57000  1.29e-012  6.47e-014
0.57250  1.32e-012  6.58e-014
0.57500  1.33e-012  6.63e-014
0.57750  1.33e-012  6.63e-014
0.58000  1.32e-012  6.58e-014
0.58250  1.34e-012  6.68e-014
0.58500  1.34e-012  6.68e-014
0.58750  1.29e-012  6.47e-014
0.59000  1.27e-012  6.36e-014
0.59250  1.32e-012  6.58e-014
0.59500  1.33e-012  6.63e-014
0.59750  1.30e-012  6.52e-014
0.60000  1.28e-012  6.42e-014
0.60250  1.29e-012  6.47e-014
0.60500  1.30e-012  6.52e-014
0.60750  1.29e-012  6.47e-014
0.61000  1.26e-012  6.31e-014
0.61250  1.24e-012  6.20e-014
0.61500  1.23e-012  6.15e-014
0.61750  1.23e-012  6.15e-014
0.62000  1.24e-012  6.20e-014
0.62250  1.24e-012  6.20e-014
0.62500  1.23e-012  6.15e-014
0.62750  1.23e-012  6.15e-014
0.63000  1.23e-012  6.15e-014
0.63250  1.23e-012  6.15e-014
0.63500  1.22e-012  6.10e-014
0.63750  1.23e-012  6.15e-014
0.64000  1.22e-012  6.10e-014
0.64250  1.21e-012  6.04e-014
0.64500  1.22e-012  6.10e-014
0.64750  1.22e-012  6.10e-014
0.65000  1.18e-012  5.88e-014
0.65250  1.18e-012  5.88e-014
0.65500  1.17e-012  5.83e-014
0.65750  1.18e-012  5.88e-014
0.66000  1.21e-012  6.04e-014
0.66250  1.21e-012  6.04e-014
0.66500  1.21e-012  6.04e-014
0.66750  1.21e-012  6.04e-014
0.67000  1.19e-012  5.94e-014
0.67250  1.18e-012  5.88e-014
0.67500  1.18e-012  5.88e-014
0.67750  1.18e-012  5.88e-014
0.68000  1.15e-012  5.77e-014
0.68250  1.15e-012  5.77e-014
0.68500  1.17e-012  5.83e-014
0.68750  1.12e-012  5.61e-014
0.69000  1.13e-012  5.67e-014
0.69250  1.13e-012  5.67e-014
0.69500  1.14e-012  5.72e-014
0.69750  1.13e-012  5.67e-014
0.70000  1.11e-012  5.56e-014
0.70250  1.10e-012  5.51e-014
0.70500  1.09e-012  5.45e-014
0.70750  1.09e-012  5.45e-014
0.71000  1.10e-012  5.51e-014
0.71250  1.10e-012  5.51e-014
0.71500  1.10e-012  5.51e-014
0.71750  1.08e-012  5.40e-014
0.72000  1.04e-012  5.21e-014
0.72250  1.05e-012  5.27e-014
0.72500  1.06e-012  5.31e-014
0.72750  1.05e-012  5.27e-014
0.73000  1.05e-012  5.23e-014
0.73250  1.06e-012  5.31e-014
0.73500  1.05e-012  5.26e-014
0.73750  1.04e-012  5.20e-014
0.74000  1.04e-012  5.19e-014
0.74250  1.04e-012  5.18e-014
0.74500  1.04e-012  5.18e-014
0.74750  1.04e-012  5.18e-014
0.75000  1.04e-012  5.18e-014
0.75250  1.03e-012  5.17e-014
0.75300  1.02e-012  5.11e-014
0.75500  1.02e-012  5.12e-014
0.75700  1.01e-012  5.06e-014
0.75900  1.01e-012  5.03e-014
0.76100  1.00e-012  5.01e-014
0.76300  1.00e-012  5.02e-014
0.76500  1.00e-012  5.02e-014
0.76700  9.68e-013  4.84e-014
0.76900  9.97e-013  4.98e-014
0.77100  9.78e-013  4.89e-014
0.77300  9.81e-013  4.91e-014
0.77500  9.67e-013  4.83e-014
0.77700  9.87e-013  4.93e-014
0.77900  9.80e-013  4.90e-014
0.78100  9.75e-013  4.87e-014
0.78300  9.62e-013  4.81e-014
0.78500  9.58e-013  4.79e-014
0.78700  9.68e-013  4.84e-014
0.78900  9.59e-013  4.80e-014
0.79100  9.43e-013  4.71e-014
0.79300  9.27e-013  4.64e-014
0.79500  9.21e-013  4.60e-014
0.79700  9.42e-013  4.71e-014
0.79900  9.40e-013  4.70e-014
0.80100  9.25e-013  4.63e-014
0.80300  9.26e-013  4.63e-014
0.80500  9.16e-013  4.58e-014
0.80700  9.21e-013  4.60e-014
0.80900  9.01e-013  4.50e-014
0.81100  9.08e-013  4.54e-014
0.81300  9.12e-013  4.56e-014
0.81500  9.06e-013  4.53e-014
0.81700  9.04e-013  4.52e-014
0.81900  8.69e-013  4.35e-014
0.82100  8.77e-013  4.39e-014
0.82300  8.76e-013  4.38e-014
0.82500  8.84e-013  4.42e-014
0.82700  8.90e-013  4.45e-014
0.82900  8.84e-013  4.42e-014
0.83100  8.65e-013  4.33e-014
0.83300  8.55e-013  4.28e-014
0.83500  8.62e-013  4.31e-014
0.83700  8.64e-013  4.32e-014
0.83900  8.36e-013  4.18e-014
0.84100  8.61e-013  4.30e-014
0.84300  8.40e-013  4.20e-014
0.84500  8.51e-013  4.26e-014
0.84700  8.40e-013  4.20e-014
0.84900  8.46e-013  4.23e-014
0.85100  8.08e-013  4.04e-014
0.85300  8.41e-013  4.21e-014
0.85500  7.87e-013  3.94e-014
0.85700  8.43e-013  4.21e-014
0.85900  8.25e-013  4.12e-014
0.86100  8.22e-013  4.11e-014
0.86300  8.28e-013  4.14e-014
0.86500  8.29e-013  4.15e-014
0.86700  7.63e-013  3.82e-014
0.86900  7.93e-013  3.97e-014
0.87100  8.08e-013  4.04e-014
0.87300  8.09e-013  4.05e-014
0.87500  7.99e-013  3.99e-014
0.87700  8.07e-013  4.03e-014
0.87900  7.99e-013  3.99e-014
0.88100  7.71e-013  3.85e-014
0.88300  7.87e-013  3.94e-014
0.88500  7.93e-013  3.96e-014
0.88700  7.76e-013  3.88e-014
0.88900  7.92e-013  3.96e-014
0.89100  7.94e-013  3.97e-014
0.89300  7.77e-013  3.88e-014
0.89500  7.73e-013  3.86e-014
0.89700  7.75e-013  3.88e-014
0.89900  7.76e-013  3.88e-014
0.90100  7.42e-013  3.71e-014
0.90300  7.66e-013  3.83e-014
0.90500  7.76e-013  3.88e-014
0.90700  7.66e-013  3.83e-014
0.90900  7.42e-013  3.71e-014
0.91100  7.48e-013  3.74e-014
0.91300  7.58e-013  3.79e-014
0.91500  7.54e-013  3.77e-014
0.91700  7.51e-013  3.76e-014
0.91900  7.56e-013  3.78e-014
0.92100  7.38e-013  3.69e-014
0.92300  7.37e-013  3.69e-014
0.92500  7.31e-013  3.65e-014
0.92700  7.35e-013  3.68e-014
0.92900  7.33e-013  3.66e-014
0.93100  7.37e-013  3.68e-014
0.93300  7.31e-013  3.65e-014
0.93500  7.27e-013  3.63e-014
0.93700  7.19e-013  3.60e-014
0.93900  7.24e-013  3.62e-014
0.94100  6.98e-013  3.49e-014
0.94300  7.17e-013  3.59e-014
0.94500  7.02e-013  3.51e-014
0.94700  7.13e-013  3.57e-014
0.94900  7.14e-013  3.57e-014
0.95100  7.08e-013  3.54e-014
0.95300  7.04e-013  3.52e-014
0.95500  6.89e-013  3.45e-014
0.95700  6.92e-013  3.46e-014
0.95900  7.00e-013  3.50e-014
0.96100  6.91e-013  3.45e-014
0.96300  6.86e-013  3.43e-014
0.96500  6.76e-013  3.38e-014
0.96700  6.77e-013  3.39e-014
0.96900  6.84e-013  3.42e-014
0.97100  6.77e-013  3.38e-014
0.97300  6.73e-013  3.37e-014
0.97500  6.68e-013  3.34e-014
0.97700  6.68e-013  3.34e-014
0.97900  6.60e-013  3.30e-014
0.98100  6.68e-013  3.34e-014
0.98300  6.64e-013  3.32e-014
0.98500  6.65e-013  3.32e-014
0.98700  6.58e-013  3.29e-014
0.98900  6.56e-013  3.28e-014
0.99100  6.54e-013  3.27e-014
0.99300  6.56e-013  3.28e-014
0.99500  6.54e-013  3.27e-014
0.99700  6.52e-013  3.26e-014
0.99900  6.48e-013  3.24e-014
1.00250  6.43e-013  3.22e-014
1.00750  6.33e-013  3.17e-014
1.01250  6.31e-013  3.16e-014
1.01750  6.21e-013  3.11e-014
1.02250  6.18e-013  3.09e-014
1.02750  6.16e-013  3.08e-014
1.03250  6.04e-013  3.02e-014
1.03750  5.98e-013  2.99e-014
1.04250  5.98e-013  2.99e-014
1.04750  5.89e-013  2.95e-014
1.05250  5.88e-013  2.94e-014
1.05750  5.79e-013  2.89e-014
1.06250  5.73e-013  2.87e-014
1.06750  5.63e-013  2.81e-014
1.07250  5.62e-013  2.81e-014
1.07750  5.54e-013  2.77e-014
1.08250  5.43e-013  2.72e-014
1.08750  5.42e-013  2.71e-014
1.09250  5.41e-013  2.71e-014
1.09750  5.33e-013  2.66e-014
1.10250  5.35e-013  2.67e-014
1.10750  5.33e-013  2.66e-014
1.11250  5.27e-013  2.63e-014
1.11750  5.20e-013  2.60e-014
1.12250  5.18e-013  2.59e-014
1.12750  5.07e-013  2.53e-014
1.13250  5.07e-013  2.53e-014
1.13750  5.01e-013  2.50e-014
1.14250  4.93e-013  2.46e-014
1.14750  4.98e-013  2.49e-014
1.15250  4.94e-013  2.47e-014
1.15750  4.86e-013  2.43e-014
1.16250  4.78e-013  2.39e-014
1.16750  4.77e-013  2.38e-014
1.17250  4.78e-013  2.39e-014
1.17750  4.68e-013  2.34e-014
1.18250  4.62e-013  2.31e-014
1.18750  4.57e-013  2.29e-014
1.19250  4.64e-013  2.32e-014
1.19750  4.44e-013  2.22e-014
1.20250  4.51e-013  2.25e-014
1.20750  4.44e-013  2.22e-014
1.21250  4.45e-013  2.23e-014
1.21750  4.46e-013  2.23e-014
1.22250  4.42e-013  2.21e-014
1.22750  4.36e-013  2.18e-014
1.23250  4.34e-013  2.17e-014
1.23750  4.31e-013  2.15e-014
1.24250  4.26e-013  2.13e-014
1.24750  4.25e-013  2.12e-014
1.25250  4.20e-013  2.10e-014
1.25750  4.18e-013  2.09e-014
1.26250  4.14e-013  2.07e-014
1.26750  4.09e-013  2.05e-014
1.27250  4.09e-013  2.04e-014
1.27750  4.07e-013  2.03e-014
1.28250  3.90e-013  1.95e-014
1.28750  3.98e-013  1.99e-014
1.29250  3.94e-013  1.97e-014
1.29750  3.94e-013  1.97e-014
1.30250  3.89e-013  1.94e-014
1.30750  3.89e-013  1.94e-014
1.31250  3.80e-013  1.90e-014
1.31750  3.78e-013  1.89e-014
1.32250  3.80e-013  1.90e-014
1.32750  3.73e-013  1.86e-014
1.33250  3.73e-013  1.86e-014
1.33750  3.69e-013  1.85e-014
1.34250  3.70e-013  1.85e-014
1.34750  3.66e-013  1.83e-014
1.35250  3.64e-013  1.82e-014
1.35750  3.57e-013  1.79e-014
1.36250  3.56e-013  1.78e-014
1.36750  3.55e-013  1.77e-014
1.37250  3.54e-013  1.77e-014
1.37750  3.51e-013  1.75e-014
1.38250  3.49e-013  1.75e-014
1.38750  3.46e-013  1.73e-014
1.39250  3.45e-013  1.73e-014
1.39750  3.43e-013  1.71e-014
1.40250  3.37e-013  1.68e-014
1.40750  3.38e-013  1.69e-014
1.41250  3.33e-013  1.66e-014
1.41750  3.35e-013  1.67e-014
1.42250  3.27e-013  1.64e-014
1.42750  3.21e-013  1.61e-014
1.43250  3.26e-013  1.63e-014
1.43750  3.26e-013  1.63e-014
1.44250  3.15e-013  1.57e-014
1.44750  3.21e-013  1.60e-014
1.45250  3.14e-013  1.57e-014
1.45700  3.15e-013  1.57e-014
1.46200  3.14e-013  1.57e-014
1.46750  3.12e-013  1.56e-014
1.47250  3.07e-013  1.53e-014
1.47750  3.06e-013  1.53e-014
1.48250  3.04e-013  1.52e-014
1.48750  2.96e-013  1.48e-014
1.49250  3.04e-013  1.52e-014
1.49750  2.98e-013  1.49e-014
1.50250  2.84e-013  1.42e-014
1.50750  2.87e-013  1.44e-014
1.51250  2.94e-013  1.47e-014
1.51750  2.93e-013  1.46e-014
1.52250  2.88e-013  1.44e-014
1.52750  2.89e-013  1.45e-014
1.53250  2.86e-013  1.43e-014
1.53750  2.86e-013  1.43e-014
1.54250  2.85e-013  1.42e-014
1.54750  2.82e-013  1.41e-014
