
Molecule O2      

O2      _MR    0.21E+00    0.21E+00    0.21E+00    0.21E+00    0.21E+00  ^
    0.87E-09    0.13E-08    0.19E-08    0.28E-08    0.42E-08  ^
    0.62E-08    0.92E-08    0.13E-07    0.19E-07    0.26E-07  ^
    0.36E-07    0.47E-07    0.60E-07    0.76E-07    0.95E-07  ^
    0.12E-06    0.14E-06    0.17E-06    0.20E-06    0.23E-06  ^
    0.26E-06    0.30E-06    0.34E-06    0.37E-06    0.41E-06  ^
    0.46E-06    0.54E-06    0.66E-06    0.10E-05

O       _ALT     0.50     1.50     2.50     3.50     4.50  ^
     5.50     6.50     7.50     8.50     9.50  ^
    10.50    11.50    12.50    13.50    14.50  ^
    15.50    16.50    17.50    18.50    19.50  ^
    20.50    21.50    22.50    23.50    24.50  ^
    25.50    26.50    27.50    28.50    29.50  ^
    30.50    31.50    32.50    33.50    34.50  ^
    35.50    36.50    37.50    38.50    39.50  ^
    40.50    41.50    42.50    43.50    44.50  ^
    45.50    46.50    47.50    48.50    49.50  ^
    50.50    51.50    52.50    53.50    54.50  ^
    55.50    56.50    57.50    58.50    59.50  ^
    60.50    61.50    62.50    63.50

Molecule H2O     

H2O     _MR    0.11E-01    0.79E-02    0.55E-02    0.35E-02    0.20E-02  ^
    0.11E-02    0.55E-03    0.23E-03    0.87E-04    0.28E-04  ^
    0.15E-04    0.10E-04    0.75E-05    0.59E-05    0.60E-05  ^
    0.60E-05    0.60E-05    0.60E-05    0.60E-05    0.61E-05  ^
    0.62E-05    0.63E-05    0.65E-05    0.67E-05    0.69E-05  ^
    0.71E-05    0.73E-05    0.74E-05    0.76E-05    0.78E-05  ^
    0.80E-05    0.81E-05    0.83E-05    0.84E-05    0.86E-05  ^
    0.87E-05    0.88E-05    0.89E-05    0.90E-05    0.91E-05  ^
    0.91E-05    0.92E-05    0.93E-05    0.93E-05    0.93E-05  ^
    0.94E-05    0.94E-05    0.94E-05    0.94E-05    0.94E-05  ^
    0.94E-05    0.94E-05    0.94E-05    0.94E-05    0.94E-05  ^
    0.94E-05    0.94E-05    0.94E-05    0.94E-05    0.94E-05  ^
    0.94E-05    0.94E-05    0.94E-05    0.94E-05

H2O     _ALT     0.50     1.50     2.50     3.50     4.50  ^
     5.50     6.50     7.50     8.50     9.50  ^
    10.50    11.50    12.50    13.50    14.50  ^
    15.50    16.50    17.50    18.50    19.50  ^
    20.50    21.50    22.50    23.50    24.50  ^
    25.50    26.50    27.50    28.50    29.50  ^
    30.50    31.50    32.50    33.50    34.50  ^
    35.50    36.50    37.50    38.50    39.50  ^
    40.50    41.50    42.50    43.50    44.50  ^
    45.50    46.50    47.50    48.50    49.50  ^
    50.50    51.50    52.50    53.50    54.50  ^
    55.50    56.50    57.50    58.50    59.50  ^
    60.50    61.50    62.50    63.50

Molecule OH      

OH      _MR    0.82E-13    0.10E-12    0.12E-12    0.15E-12    0.17E-12  ^
    0.18E-12    0.18E-12    0.15E-12    0.13E-12    0.11E-12  ^
    0.10E-12    0.10E-12    0.11E-12    0.12E-12    0.15E-12  ^
    0.18E-12    0.22E-12    0.25E-12    0.30E-12    0.36E-12  ^
    0.45E-12    0.58E-12    0.78E-12    0.11E-11    0.15E-11  ^
    0.21E-11    0.29E-11    0.42E-11    0.60E-11    0.85E-11  ^
    0.12E-10    0.17E-10    0.23E-10    0.31E-10    0.41E-10  ^
    0.54E-10    0.71E-10    0.92E-10    0.12E-09    0.15E-09  ^
    0.20E-09    0.24E-09    0.30E-09    0.35E-09    0.41E-09  ^
    0.46E-09    0.51E-09    0.56E-09    0.60E-09    0.65E-09  ^
    0.69E-09    0.74E-09    0.80E-09    0.85E-09    0.93E-09  ^
    0.10E-08    0.11E-08    0.13E-08    0.14E-08    0.17E-08  ^
    0.20E-08    0.24E-08    0.30E-08    0.40E-08

OH      _ALT     0.50     1.50     2.50     3.50     4.50  ^
     5.50     6.50     7.50     8.50     9.50  ^
    10.50    11.50    12.50    13.50    14.50  ^
    15.50    16.50    17.50    18.50    19.50  ^
    20.50    21.50    22.50    23.50    24.50  ^
    25.50    26.50    27.50    28.50    29.50  ^
    30.50    31.50    32.50    33.50    34.50  ^
    35.50    36.50    37.50    38.50    39.50  ^
    40.50    41.50    42.50    43.50    44.50  ^
    45.50    46.50    47.50    48.50    49.50  ^
    50.50    51.50    52.50    53.50    54.50  ^
    55.50    56.50    57.50    58.50    59.50  ^
    60.50    61.50    62.50    63.50

Molecule HO2     

HO2     _MR    0.14E-10    0.14E-10    0.14E-10    0.13E-10    0.12E-10  ^
    0.10E-10    0.79E-11    0.53E-11    0.32E-11    0.17E-11  ^
    0.11E-11    0.83E-12    0.70E-12    0.66E-12    0.69E-12  ^
    0.75E-12    0.83E-12    0.99E-12    0.13E-11    0.19E-11  ^
    0.28E-11    0.40E-11    0.57E-11    0.80E-11    0.11E-10  ^
    0.15E-10    0.20E-10    0.25E-10    0.33E-10    0.41E-10  ^
    0.50E-10    0.60E-10    0.71E-10    0.82E-10    0.93E-10  ^
    0.10E-09    0.11E-09    0.13E-09    0.14E-09    0.15E-09  ^
    0.16E-09    0.17E-09    0.19E-09    0.20E-09    0.22E-09  ^
    0.24E-09    0.25E-09    0.27E-09    0.28E-09    0.30E-09  ^
